t,px,py,pz,qx,qy,qz,qw
5.25993,-0.16753,0.0745064,0.0731758,0.695245,-0.0669979,0.698383,0.156228
5.32667,-0.101477,0.0233261,0.064528,0.705538,-0.0669215,0.688423,0.154309
5.3934,-0.127185,0.016452,0.0556761,0.704032,-0.0751806,0.686605,0.165108
5.46013,-0.156604,0.0242997,0.054813,0.704329,-0.0902354,0.682974,0.171245
5.52687,-0.179315,0.033435,0.0574475,0.70666,-0.0918441,0.677133,0.18354
5.5936,-0.200469,0.0303107,0.0577827,0.708108,-0.10132,0.672829,0.188731
5.66033,-0.227618,0.0365578,0.073585,0.70694,-0.104375,0.671643,0.195543
5.72707,-0.235112,0.0379611,0.0693728,0.720468,-0.10197,0.658586,0.191815
5.7938,-0.259416,0.0434269,0.09623,0.728157,-0.102056,0.648026,0.19858
5.86053,-0.281909,0.0579059,0.0827081,0.733024,-0.105124,0.640847,0.202335
5.92727,-0.275449,0.0423263,0.0690566,0.735457,-0.104105,0.639607,0.19791
5.994,-0.274674,0.0458776,0.0774873,0.741657,-0.0935791,0.631897,0.204683
6.06073,-0.294007,0.0873267,0.0964511,0.73965,-0.0914512,0.632059,0.212265
6.12747,-0.285038,0.102299,0.107819,0.745057,-0.0878388,0.62883,0.204322
6.1942,-0.286072,0.127921,0.113222,0.739763,-0.0953562,0.634656,0.202162
6.26093,-0.281973,0.146241,0.113886,0.732662,-0.100064,0.642398,0.201292
6.32767,-0.266581,0.172673,0.126561,0.735596,-0.0942824,0.639006,0.204157
6.3944,-0.247442,0.196217,0.133498,0.73454,-0.0942033,0.641471,0.20023
6.46113,-0.21937,0.221982,0.139953,0.735487,-0.099712,0.643431,0.187383
6.52787,-0.207196,0.245742,0.146459,0.738285,-0.0902719,0.640756,0.190311
6.5946,-0.201238,0.269207,0.146945,0.737045,-0.0879919,0.642147,0.19149
6.66133,-0.190102,0.276496,0.160039,0.742045,-0.0826045,0.636441,0.193622
6.72807,-0.182726,0.302291,0.168948,0.745276,-0.0796011,0.630884,0.200532
6.7948,-0.194243,0.330001,0.151797,0.74553,-0.0803721,0.628731,0.205965
6.86153,-0.192002,0.336191,0.145489,0.745872,-0.0834939,0.628052,0.205558
6.92827,-0.201874,0.35846,0.140959,0.747608,-0.0893666,0.625684,0.203998
6.995,-0.204011,0.37792,0.150068,0.74613,-0.0972428,0.626956,0.201892
7.06173,-0.203175,0.386589,0.160531,0.742545,-0.108696,0.62941,0.201631
7.12847,-0.196405,0.428802,0.178452,0.743966,-0.109183,0.630895,0.191219
7.1952,-0.196544,0.447937,0.182999,0.73962,-0.117662,0.636854,0.183127
7.26193,-0.208349,0.453652,0.192031,0.738008,-0.116431,0.637499,0.188102
7.32867,-0.21508,0.464438,0.196897,0.740318,-0.116033,0.635776,0.18508
7.3954,-0.220044,0.479349,0.201622,0.740048,-0.112885,0.637099,0.183548
7.46213,-0.218308,0.496836,0.208925,0.743408,-0.116705,0.63615,0.170405
7.52887,-0.224202,0.504471,0.225455,0.74197,-0.114747,0.638463,0.169349
7.5956,-0.22165,0.512124,0.218916,0.740066,-0.116257,0.642251,0.162172
7.66233,-0.220945,0.517435,0.222854,0.74088,-0.11034,0.645682,0.148383
7.72907,-0.219828,0.515106,0.217666,0.739008,-0.105311,0.652306,0.131429
7.7958,-0.225032,0.509553,0.22143,0.736298,-0.101853,0.659979,0.109173
7.86253,-0.225032,0.521103,0.2233,0.73517,-0.0876002,0.664502,0.101436
7.92927,-0.237372,0.507424,0.219549,0.732513,-0.0772848,0.672194,0.0748829
7.996,-0.256081,0.483393,0.223478,0.729038,-0.0620569,0.680198,0.0445205
8.06273,-0.302743,0.463943,0.24699,0.721959,-0.0395308,0.690781,0.00586047
8.12947,-0.33629,0.431536,0.250499,-0.719513,0.0164625,-0.693794,0.0260837
8.1962,-0.396542,0.344538,0.25321,-0.721062,0.0130684,-0.689504,0.0669567
8.26293,-0.44728,0.288299,0.250738,-0.716419,-0.00998254,-0.690327,0.100462
8.32967,-0.505921,0.234636,0.248963,-0.711352,-0.0370475,-0.690685,0.124738
