t,reproj_rms_px,reproj_feats
5.25993,3.35587,12
5.32667,4.29731,139
5.3934,4.62825,165
5.46013,2.53013,78
5.52687,2.53044,13
5.5936,2.28995,10
5.66033,3.35278,19
5.72707,3.77287,43
5.7938,4.43719,29
5.86053,4.19692,14
5.92727,3.2138,11
5.994,2.54839,23
6.06073,4.37929,51
6.12747,3.0636,72
6.1942,3.25217,107
6.26093,2.74205,74
6.32767,2.48926,45
6.3944,2.63016,30
6.46113,3.85914,6
6.52787,1.3878,21
6.5946,2.01561,14
6.66133,3.45884,2
6.72807,3.05616,6
6.7948,4.47699,7
6.86153,2.21134,0
6.92827,2.50305,31
6.995,2.94162,27
7.06173,2.60244,41
7.12847,3.84544,19
7.1952,2.26203,32
7.26193,4.08688,39
7.32867,2.80234,49
7.3954,3.30835,37
7.46213,2.464,30
7.52887,3.19733,59
7.5956,2.7565,38
7.66233,2.70722,66
7.72907,5.18542,51
7.7958,6.26123,85
7.86253,8.6303,88
7.92927,5.53919,28
7.996,5.80041,12
8.06273,9.23899,35
8.12947,6.74401,10
8.1962,7.06932,7
8.26293,3.7204,22
8.32967,10.7971,8
8.3964,3.32873,5
8.46313,3.1196,18
8.52987,9.22414,12
8.5966,7.27591,65
8.66333,1.73858,3
8.73007,6.8661,45
8.7968,4.84336,14
8.86353,7.09003,20
8.93027,4.29148,15
8.997,5.74687,21
9.06373,7.31374,13
9.13047,5.61496,31
9.1972,5.45786,11
9.26393,2.18842,0
9.33067,6.0554,9
9.3974,4.5102,30
9.46413,6.55428,33
9.53087,4.29854,21
9.5976,9.41427,1
9.66433,5.00554,6
9.73107,7.72452,3
9.7978,4.42335,14
9.86453,4.51085,3
9.93127,7.16245,18
9.998,5.30823,4
10.0647,5.80626,24
10.1315,5.16533,38
10.1982,4.80616,29
10.2649,5.75888,29
10.3317,7.30918,17
10.3984,3.65522,11
10.4651,5.21663,19
10.5319,4.91228,21
10.5986,3.56805,4
10.6653,5.66554,24
10.7321,3.2718,10
10.7988,3.88838,20
10.8655,2.72002,20
10.9323,5.03463,10
10.999,3.30504,32
11.0657,4.67403,36
11.1325,4.66621,14
11.1992,3.91109,7
11.2659,4.69133,11
11.3327,3.15256,22
11.3994,3.12173,7
11.4661,3.85467,3
11.5329,1.9642,4
11.5996,4.4852,15
11.6663,4.4852,15
11.7331,3.65375,5
11.7998,3.53846,10
11.8665,2.88238,50
11.9333,2.75054,23
12,1.59432,11
12.0667,2.21148,20
12.1335,1.67007,9
12.2002,3.21033,6
12.2669,4.02891,4
12.3337,4.02891,4
