t,px,py,pz,qx,qy,qz,qw
27.015,-0.0530396,0.0906189,-0.0464278,-0.653087,-0.194577,-0.702857,0.203985
27.0817,-0.0282798,0.0658325,0.000432904,-0.652365,-0.169394,-0.715027,0.185637
27.1485,-0.0898076,0.0863808,0.0158187,-0.640975,-0.162701,-0.724291,0.195147
27.2152,-0.127537,0.102018,0.031242,-0.641312,-0.16305,-0.721504,0.203878
27.2819,-0.171569,0.115077,0.0540994,-0.64232,-0.152385,-0.720013,0.213977
27.3487,-0.197209,0.160462,0.067644,-0.648015,-0.174289,-0.709044,0.216693
27.4154,-0.22486,0.190218,0.067753,-0.653406,-0.172408,-0.700975,0.22797
27.4821,-0.267612,0.210653,0.0740868,-0.650404,-0.175185,-0.701572,0.232556
27.5489,-0.299149,0.22766,0.0743011,-0.644232,-0.190374,-0.702357,0.235408
27.6156,-0.336698,0.237776,0.0773156,-0.641298,-0.196508,-0.699577,0.2464
27.6823,-0.390535,0.259515,0.0820042,-0.637598,-0.205887,-0.693896,0.263794
27.7491,-0.458847,0.3167,0.0862131,-0.627379,-0.222205,-0.694879,0.272332
27.8158,-0.500301,0.354761,0.0619468,-0.620427,-0.241042,-0.691965,0.279559
27.8825,-0.568729,0.39279,0.0672918,-0.612467,-0.25674,-0.687048,0.294845
27.9493,-0.60553,0.443564,0.0642928,-0.601458,-0.27105,-0.68833,0.301632
28.016,-0.706985,0.486901,0.0464676,-0.581686,-0.272105,-0.703001,0.305598
28.0827,-0.723641,0.533904,0.0214434,-0.571699,-0.275068,-0.708249,0.309647
28.1495,-0.8667,0.592565,0.0389361,-0.556282,-0.28599,-0.707738,0.328431
28.2162,-0.929503,0.607104,0.0589032,-0.55462,-0.281349,-0.698971,0.353098
28.2829,-0.990938,0.636126,0.062489,-0.555312,-0.295352,-0.69034,0.357528
28.3497,-1.01315,0.676293,0.0483996,-0.55979,-0.319396,-0.679993,0.349617
28.4164,-1.03965,0.696347,0.0558729,-0.559626,-0.334163,-0.669533,0.356201
28.4831,-0.956626,0.691345,0.015219,-0.561177,-0.345287,-0.666996,0.347813
28.5499,-0.885132,0.696238,-0.0496995,-0.565564,-0.362681,-0.659246,0.337631
28.6166,-0.88871,0.689423,-0.0555194,-0.561491,-0.369631,-0.658876,0.337614
28.6833,-0.922448,0.696306,-0.0756578,-0.555924,-0.37059,-0.663262,0.337188
28.7501,-0.940585,0.690921,-0.0873518,-0.54721,-0.374773,-0.667481,0.338489
28.8168,-0.942458,0.686817,-0.115248,-0.538874,-0.376824,-0.671202,0.342209
28.8835,-0.970541,0.691786,-0.130341,-0.522231,-0.382201,-0.678831,0.346967
28.9503,-0.989938,0.697927,-0.137383,-0.503213,-0.401549,-0.683715,0.34361
29.017,-1.00721,0.686969,-0.133528,-0.501261,-0.397683,-0.683788,0.350742
29.0837,-1.02108,0.67991,-0.131673,-0.496612,-0.402761,-0.681946,0.355118
29.1505,-1.03735,0.672585,-0.128802,-0.489745,-0.411719,-0.681999,0.354279
29.2172,-1.04346,0.674234,-0.142268,-0.480272,-0.417256,-0.68233,0.360085
29.2839,-1.04627,0.66482,-0.138838,-0.475491,-0.421721,-0.679426,0.366661
29.3507,-1.05138,0.645032,-0.141753,-0.470292,-0.425832,-0.673603,0.379147
29.4174,-1.04245,0.630978,-0.132049,-0.467265,-0.432594,-0.667478,0.386003
29.4841,-1.03475,0.609406,-0.115972,-0.463389,-0.433441,-0.664162,0.395335
29.5509,-1.02283,0.582744,-0.0964827,-0.458004,-0.431478,-0.662095,0.407049
29.6176,-1.00156,0.561296,-0.0720782,-0.454093,-0.428371,-0.660745,0.41679
29.6843,-0.985791,0.526921,-0.0383659,-0.444405,-0.431778,-0.660768,0.423625
29.7511,-0.956402,0.489869,-0.00461135,-0.43601,-0.43263,-0.660313,0.432103
29.8178,-0.922917,0.44178,0.0285879,-0.431933,-0.430015,-0.659136,0.440523
29.8845,-0.884923,0.388327,0.0634734,-0.429728,-0.428301,-0.656704,0.447919
29.9513,-0.846412,0.330072,0.100023,-0.423037,-0.438094,-0.655803,0.446135
30.018,-0.798421,0.266915,0.137467,-0.418115,-0.441674,-0.655873,0.44714
30.0847,-0.742247,0.198525,0.176962,-0.416161,-0.440741,-0.657814,0.447032
30.1515,-0.681684,0.132336,0.22622,-0.415689,-0.441395,-0.658469,0.445861
30.2182,-0.625382,0.0319208,0.269979,-0.417498,-0.428961,-0.662686,0.450039
30.2849,-0.570428,-0.0598945,0.328796,-0.418323,-0.421185,-0.664978,0.453225
30.3517,-0.506068,-0.181981,0.374531,-0.418707,-0.412248,-0.666295,0.459116
30.4184,-0.491163,-0.313667,0.421236,-0.419405,-0.414162,-0.663119,0.461349
30.4851,-0.415238,-0.445348,0.473551,-0.424281,-0.401725,-0.662227,0.469104
30.5519,-0.329479,-0.580564,0.532201,-0.422026,-0.40325,-0.661331,0.47109
30.6186,-0.275421,-0.769645,0.577009,-0.420883,-0.393482,-0.662748,0.478325
30.6853,-0.232018,-0.810442,0.712858,-0.421532,-0.393384,-0.663401,0.476926
30.7521,-0.257214,-0.926962,0.804988,-0.418851,-0.40679,-0.664103,0.466961
30.8188,-0.153221,-1.11553,0.865584,-0.416182,-0.403777,-0.663107,0.473334
30.8855,-0.0269199,-1.37832,0.852385,-0.429498,-0.386055,-0.663873,0.475149
30.9523,0.212372,-1.60603,0.83977,-0.428854,-0.388371,-0.658036,0.481914
31.019,0.341472,-1.86397,0.842514,-0.424561,-0.390455,-0.652549,0.491399
31.0857,0.488743,-2.08218,0.894209,-0.424205,-0.379962,-0.652691,0.499673
31.1525,0.684782,-2.34553,0.932211,-0.427205,-0.369838,-0.64869,0.50982
31.2192,1.00156,-2.42969,0.948937,-0.422315,-0.393758,-0.639273,0.507873
