t,reproj_rms_px,reproj_feats
27.015,6.81911,16
27.0817,8.50983,63
27.1485,3.00801,139
27.2152,3.12071,4
27.2819,3.63705,21
27.3487,5.66437,20
27.4154,4.53704,21
27.4821,3.87099,14
27.5489,4.09508,50
27.6156,3.98922,43
27.6823,3.33043,29
27.7491,5.28175,43
27.8158,4.62721,45
27.8825,6.02381,27
27.9493,5.71614,42
28.016,4.40278,151
28.0827,6.58282,66
28.1495,4.34475,26
28.2162,4.84415,22
28.2829,3.94237,36
28.3497,3.41394,25
28.4164,3.48892,22
28.4831,3.06373,15
28.5499,4.79074,51
28.6166,3.35555,35
28.6833,3.65677,86
28.7501,4.26807,35
28.8168,3.87151,111
28.8835,8.53656,28
28.9503,4.39751,48
29.017,6.00016,15
29.0837,3.16551,63
29.1505,3.7954,20
29.2172,3.50403,1
29.2839,1.25818,0
29.3507,5.75795,10
29.4174,6.12514,4
29.4841,6.12514,4
29.5509,6.12514,4
29.6176,5.40755,1
29.6843,5.40755,1
29.7511,3.94185,3
29.8178,3.94185,3
29.8845,3.94185,3
29.9513,3.94185,3
30.018,0.773292,0
30.0847,0.926524,1
30.1515,2.81114,4
30.2182,2.01534,10
30.2849,1.6271,14
30.3517,2.41787,11
30.4184,3.42645,26
30.4851,2.68666,12
30.5519,2.68666,12
30.6186,3.09845,9
30.6853,5.815,39
30.7521,3.56868,17
30.8188,2.74315,12
30.8855,2.58322,65
30.9523,4.77932,31
31.019,2.44114,39
31.0857,2.44114,39
31.1525,2.44114,39
31.2192,3.74131,15
31.2859,3.74131,15
31.3527,4.16606,0
31.4194,3.69494,2
31.4861,3.23457,12
31.5529,2.925,7
31.6196,1.98169,12
31.6863,1.98169,12
31.7531,4.55979,21
31.8198,3.76465,29
31.8865,3.7004,51
31.9533,3.16673,41
32.02,3.27356,71
32.0867,4.2304,110
32.1535,4.68794,87
32.2202,3.12975,46
32.2869,3.07224,17
32.3537,5.07031,26
32.4204,5.20373,27
32.4871,3.99404,38
32.5539,3.95971,42
32.6206,4.99455,43
32.6873,5.11846,46
32.7541,6.62104,24
32.8208,5.45442,23
32.8875,7.48128,77
32.9543,5.68203,19
33.021,5.68203,19
33.0877,7.0255,10
33.1545,8.13677,8
33.2212,4.68608,4
33.2879,3.97567,1
33.3547,6.32226,7
33.4214,5.62861,1
33.4881,6.65428,6
33.5549,4.49503,7
33.6216,6.9864,2
33.6883,7.07973,10
33.7551,6.62902,0
33.8218,6.62902,0
33.8885,6.62902,0
33.9553,0.0971221,0
34.022,0.0971221,0
34.0887,6.2502,0
34.1555,4.32462,1
34.2222,4.14711,2
34.2889,5.98241,0
34.3557,5.98241,0
34.4224,1.31334,1
34.4891,1.31334,1
34.5559,4.74303,7
34.6226,4.74303,7
34.6893,4.74303,7
34.7561,2.80328,5
34.8228,4.02415,4
34.8895,1.56962,0
34.9563,1.56962,0
35.023,0.267209,0
35.0897,2.32838,1
35.1565,2.32838,1
35.2232,4.76281,11
35.2899,3.55048,12
35.3567,3.47794,1
35.4234,3.12072,10
35.4901,3.12072,10
35.5569,3.12072,10
35.6236,3.12072,10
35.6903,3.12072,10
35.7571,2.74719,15
35.8238,2.99975,8
35.8905,4.77876,10
35.9573,1.91854,13
36.024,1.91854,13
36.0907,4.05915,1
36.1575,4.32239,26
36.2242,3.31036,12
36.2909,2.61466,40
36.3577,3.36663,17
36.4244,3.16333,43
36.4911,1.20339,8
36.5579,1.20339,8
36.6246,3.91886,16
36.6913,3.29718,0
36.7581,2.29577,18
36.8248,2.24431,14
36.8915,1.54171,9
