t,px,py,pz,qx,qy,qz,qw
6.32767,0.185231,0.217641,-0.139023,0.749786,-0.0775616,0.622466,0.210573
6.3944,0.250747,0.216577,-0.139865,0.736158,-0.107891,0.633734,0.211689
6.46113,0.259218,0.185139,-0.206466,0.738482,-0.13055,0.631232,0.197857
6.52787,0.252726,0.221029,-0.217896,0.738023,-0.126511,0.628907,0.209268
6.5946,0.278518,0.253033,-0.230288,0.73848,-0.126975,0.626332,0.215017
6.66133,0.260462,0.301332,-0.209232,0.734305,-0.121254,0.627213,0.229558
6.72807,0.276813,0.361167,-0.242172,0.732249,-0.120708,0.626958,0.236992
6.7948,0.291393,0.40592,-0.258202,0.731835,-0.12292,0.625952,0.239776
6.86153,0.279877,0.468141,-0.210417,0.735252,-0.125991,0.619114,0.245414
6.92827,0.273287,0.551858,-0.340623,0.729494,-0.129541,0.622473,0.252162
6.995,0.263457,0.585969,-0.369718,0.726149,-0.137236,0.627158,0.246064
7.06173,0.149676,0.796982,-0.421273,0.716489,-0.136298,0.629677,0.267532
7.12847,0.191495,0.831121,-0.42533,0.722661,-0.142623,0.624426,0.259833
7.1952,0.198721,0.87296,-0.43347,0.722163,-0.151974,0.627696,0.247753
7.26193,0.242149,0.876832,-0.382493,0.729707,-0.153389,0.624194,0.233198
7.32867,0.175421,0.969362,-0.357393,0.738291,-0.156459,0.619573,0.215816
7.3954,0.126092,1.04157,-0.395834,0.736313,-0.14613,0.618964,0.231026
7.46213,0.0635711,1.17756,-0.465787,0.727109,-0.160463,0.626121,0.231381
7.52887,0.0730785,1.19105,-0.564548,0.724693,-0.15711,0.628795,0.233994
7.5956,0.100321,1.26034,-0.573457,0.72478,-0.166341,0.632746,0.216005
7.66233,0.0612066,1.31518,-0.614024,0.724706,-0.160604,0.635576,0.21225
7.72907,0.0668658,1.3586,-0.62451,0.726842,-0.162705,0.639544,0.190293
7.7958,0.065107,1.44907,-0.610361,0.731192,-0.175517,0.639228,0.161059
7.86253,0.0501833,1.49442,-0.628881,0.731584,-0.167121,0.644654,0.145865
7.92927,0.0341672,1.52097,-0.632479,0.733076,-0.163838,0.64876,0.12193
7.996,-0.00695638,1.55625,-0.648416,0.734144,-0.153962,0.653741,0.099756
8.06273,-0.0405477,1.58128,-0.644257,0.74082,-0.138284,0.652476,0.0796105
8.12947,-0.0881947,1.65673,-0.555486,0.747226,-0.140198,0.649155,0.0244029
8.1962,-0.148878,1.69106,-0.517935,-0.752591,0.131377,-0.645072,0.0151034
8.26293,-0.200343,1.7313,-0.471093,-0.748642,0.125021,-0.64828,0.060322
8.32967,-0.217928,1.74752,-0.374876,-0.73378,0.113058,-0.661057,0.108573
8.3964,-0.288773,1.75285,-0.379103,-0.729575,0.0887174,-0.666509,0.12496
8.46313,-0.353933,1.75843,-0.428431,-0.725595,0.0761181,-0.669813,0.138088
8.52987,-0.429839,1.73972,-0.456653,-0.729928,0.0565704,-0.665614,0.144784
8.5966,-0.463122,1.7038,-0.373186,-0.717527,0.0544539,-0.671466,0.176984
8.66333,-0.509779,1.69457,-0.474999,-0.711092,0.0198738,-0.683855,0.162157
8.73007,-0.594213,1.67288,-0.470137,-0.707935,0.00384338,-0.682915,0.180112
8.7968,-0.669171,1.64821,-0.531271,-0.707719,-0.0197182,-0.68189,0.18377
8.86353,-0.740855,1.59968,-0.545756,-0.709322,-0.0347948,-0.676887,0.193588
8.93027,-0.811348,1.54103,-0.586203,-0.711938,-0.051089,-0.67187,0.197799
8.997,-0.863415,1.53874,-0.628916,-0.705774,-0.0712433,-0.676807,0.196825
9.06373,-0.959238,1.52843,-0.645006,-0.699988,-0.0840837,-0.677927,0.208233
9.13047,-1.03622,1.49238,-0.667949,-0.69558,-0.101235,-0.677673,0.216053
9.1972,-1.11688,1.45519,-0.671617,-0.695877,-0.113406,-0.674072,0.220275
9.26393,-1.19553,1.40281,-0.688035,-0.696414,-0.122536,-0.669168,0.228488
9.33067,-1.2725,1.33906,-0.698274,-0.6977,-0.128591,-0.663699,0.237029
9.3974,-1.25814,1.30281,-0.737823,-0.698592,-0.142334,-0.660532,0.235388
9.46413,-1.27447,1.26729,-0.795007,-0.701389,-0.155301,-0.654618,0.235392
9.53087,-1.21129,1.16316,-0.647806,-0.707913,-0.14834,-0.644983,0.246681
9.5976,-1.0837,1.27788,-0.644292,-0.6964,-0.164384,-0.655848,0.240557
9.66433,-1.01334,1.17171,-0.659058,-0.70575,-0.17358,-0.643893,0.239142
9.73107,-1.01931,1.1334,-0.625109,-0.712739,-0.178733,-0.631318,0.247984
9.7978,-1.02795,1.09607,-0.632915,-0.712364,-0.188455,-0.627566,0.251364
9.86453,-1.0224,1.04031,-0.629171,-0.710848,-0.196843,-0.624453,0.256919
9.93127,-1.02387,0.990673,-0.63192,-0.707734,-0.204617,-0.622657,0.26371
9.998,-1.02877,0.9413,-0.635322,-0.705502,-0.215664,-0.617704,0.272392
10.0647,-1.01501,0.88183,-0.633401,-0.702186,-0.228646,-0.613673,0.279396
10.1315,-1.01636,0.815704,-0.644487,-0.695722,-0.242144,-0.610105,0.291736
10.1982,-1.02122,0.752451,-0.637214,-0.692105,-0.253135,-0.601959,0.307504
10.2649,-1.03138,0.689615,-0.637821,-0.687979,-0.265582,-0.592659,0.323893
10.3317,-1.0163,0.607151,-0.645672,-0.679787,-0.278721,-0.586233,0.341372
10.3984,-1.02253,0.537158,-0.640414,-0.672938,-0.296961,-0.576942,0.355115
10.4651,-1.01006,0.463637,-0.627417,-0.669375,-0.309523,-0.563511,0.372274
10.5319,-1.00629,0.399827,-0.618606,-0.663359,-0.316807,-0.5546,0.38988
10.5986,-1.00102,0.334274,-0.614246,-0.656516,-0.330917,-0.547427,0.399756
10.6653,-0.988676,0.276819,-0.610023,-0.648741,-0.349167,-0.540856,0.405823
10.7321,-0.988587,0.203139,-0.606417,-0.643148,-0.365694,-0.531945,0.411902
10.7988,-0.928581,0.094214,-0.649775,-0.626859,-0.392016,-0.527096,0.418977
10.8655,-0.926399,0.052791,-0.66355,-0.618076,-0.407213,-0.521408,0.42461
10.9323,-0.911262,0.00606181,-0.661595,-0.614664,-0.41815,-0.513146,0.428976
10.999,-0.897654,-0.0769936,-0.657041,-0.609677,-0.436602,-0.500722,0.432378
11.0657,-0.883178,-0.0927772,-0.668929,-0.60732,-0.437331,-0.499649,0.436183
11.1325,-0.869517,-0.146227,-0.660729,-0.600786,-0.446828,-0.490414,0.445976
11.1992,-0.826958,-0.144017,-0.644502,-0.602817,-0.444832,-0.483372,0.452866
11.2659,-0.786369,-0.152124,-0.625717,-0.602911,-0.446533,-0.478313,0.456425
11.3327,-0.755708,-0.186185,-0.622036,-0.596468,-0.454476,-0.472999,0.462547
11.3994,-0.74561,-0.178968,-0.617042,-0.597877,-0.458346,-0.472679,0.457205
11.4661,-0.717205,-0.178653,-0.609521,-0.597243,-0.460004,-0.469708,0.459426
11.5329,-0.712214,-0.153155,-0.630893,-0.594458,-0.457989,-0.478525,0.455939
11.5996,-0.703878,-0.109465,-0.651901,-0.591825,-0.455891,-0.486923,0.452562
11.6663,-0.686786,-0.0907119,-0.661251,-0.590175,-0.459489,-0.488208,0.449685
11.7331,-0.678475,-0.0918804,-0.675379,-0.585259,-0.460865,-0.490303,0.452414
11.7998,-0.680727,-0.108792,-0.666014,-0.580582,-0.462039,-0.485959,0.461832
11.8665,-0.688857,-0.0994888,-0.682781,-0.579437,-0.454591,-0.490799,0.465528
11.9333,-0.690669,-0.118388,-0.68513,-0.58215,-0.453612,-0.487936,0.466108
12,-0.68414,-0.116176,-0.686339,-0.588689,-0.449769,-0.489456,0.459986
12.0667,-0.677372,-0.111072,-0.682268,-0.590936,-0.450342,-0.491849,0.453951
12.1335,-0.673888,-0.0979618,-0.679283,-0.596715,-0.451915,-0.491697,0.444903
12.2002,-0.671427,-0.0818869,-0.674318,-0.603703,-0.447271,-0.490823,0.441117
12.2669,-0.661964,-0.0656952,-0.667109,-0.607682,-0.445858,-0.49305,0.434553
12.3337,-0.660933,-0.0467399,-0.668927,-0.611899,-0.445794,-0.495867,0.425397
12.4004,-0.649841,-0.0132154,-0.669092,-0.617625,-0.444566,-0.497314,0.41663
12.4671,-0.643872,0.0211672,-0.669633,-0.622398,-0.442599,-0.500357,0.407884
12.5339,-0.657855,0.057427,-0.673132,-0.626986,-0.437223,-0.506089,0.399497
12.6006,-0.658839,0.0855697,-0.675171,-0.633049,-0.433118,-0.506671,0.393628
12.6673,-0.662232,0.108266,-0.697461,-0.638745,-0.429691,-0.509586,0.384308
12.7341,-0.659565,0.147281,-0.71901,-0.642671,-0.42425,-0.515594,0.375698
12.8008,-0.658935,0.200901,-0.70851,-0.652237,-0.410664,-0.519331,0.369104
12.8675,-0.671945,0.263624,-0.709227,-0.659114,-0.40243,-0.525498,0.357031
12.9343,-0.674542,0.323336,-0.707789,-0.666904,-0.390989,-0.530207,0.348206
13.001,-0.672236,0.382843,-0.70538,-0.675475,-0.378467,-0.53515,0.337803
13.0677,-0.697117,0.43716,-0.703656,-0.682913,-0.366946,-0.540842,0.326298
13.1345,-0.687962,0.527721,-0.694074,-0.690013,-0.360552,-0.548402,0.305188
13.2012,-0.686531,0.622014,-0.701185,-0.69716,-0.347929,-0.557209,0.287109
13.2679,-0.759526,0.648163,-0.675675,-0.699882,-0.333096,-0.566918,0.278956
13.3347,-0.812866,0.734367,-0.7169,-0.701261,-0.302084,-0.586195,0.270839
13.4014,-0.794154,0.806275,-0.713629,-0.707141,-0.278986,-0.595441,0.259937
13.4681,-0.788888,0.886462,-0.712653,-0.714195,-0.259864,-0.602098,0.244691
13.5349,-0.835723,0.981278,-0.699678,-0.72076,-0.23906,-0.608197,0.231196
13.6016,-0.835372,1.0763,-0.694279,-0.726844,-0.218204,-0.614193,0.216452
13.6683,-0.832413,1.17705,-0.685363,-0.735366,-0.195122,-0.617745,0.198887
13.7351,-0.823674,1.28721,-0.67818,-0.741925,-0.174719,-0.622302,0.178217
13.8018,-0.795336,1.39897,-0.668861,-0.749282,-0.152624,-0.624644,0.158438
13.8685,-0.75811,1.54654,-0.66772,-0.755791,-0.128652,-0.627952,0.133808
13.9353,-0.731129,1.70122,-0.668513,-0.75943,-0.106779,-0.632106,0.110929
14.002,-0.686411,1.83473,-0.673522,-0.762588,-0.092886,-0.634173,0.0875062
14.0687,-0.63498,1.93298,-0.689408,-0.762668,-0.0812446,-0.638333,0.065327
14.1355,-0.592483,2.07263,-0.717233,-0.764463,-0.0656491,-0.639829,0.0436501
14.2022,-0.544495,2.18561,-0.728253,-0.766199,-0.0518589,-0.639874,0.028489
14.2689,-0.474495,2.26034,-0.752206,-0.764155,-0.0386003,-0.643643,0.0173491
14.3357,-0.391619,2.37995,-0.759545,-0.76649,-0.0242695,-0.641797,0.000888876
14.4024,-0.297948,2.49837,-0.772361,0.768205,0.0104911,0.639993,0.0126506
14.4691,-0.201495,2.63754,-0.773509,0.770091,-0.004003,0.637345,0.0271088
14.5359,-0.0876785,2.77498,-0.782667,0.771252,-0.0171733,0.634749,0.0443701
14.6026,0.00699247,2.9061,-0.822384,0.767381,-0.0341122,0.637979,0.0542702
14.6693,0.136631,3.05827,-0.85901,0.764036,-0.0488219,0.639736,0.067853
14.7361,0.266798,3.21492,-0.875378,0.763263,-0.0602157,0.638754,0.0761348
14.8028,0.407024,3.37182,-0.89305,0.762304,-0.0691446,0.637947,0.0844726
14.8695,0.545158,3.56325,-0.912701,0.759181,-0.0760071,0.639156,0.0966839
14.9363,0.699565,3.72117,-0.930561,0.755457,-0.0875808,0.640466,0.106855
15.003,0.846352,3.90061,-0.954421,0.754636,-0.0934854,0.638945,0.116339
15.0697,0.869494,4.06093,-1.01308,0.748837,-0.101186,0.643215,0.123607
15.1365,0.99615,4.24896,-1.04129,0.747231,-0.113748,0.639616,0.139996
15.2032,1.13067,4.34219,-0.980587,0.743234,-0.129104,0.640459,0.14404
15.2699,1.26932,4.51104,-0.988004,0.742584,-0.143564,0.634909,0.157639
15.3367,1.40635,4.6702,-0.994467,0.740402,-0.159511,0.629812,0.172333
15.4034,1.55542,4.76515,-0.949628,0.736033,-0.168344,0.630067,0.181467
15.4701,1.70019,4.89332,-0.956066,0.734033,-0.179406,0.626967,0.18953
15.5369,1.72592,5.10454,-0.972266,0.725808,-0.191205,0.632779,0.190353
15.6036,1.87492,5.02349,-0.897994,0.712952,-0.209933,0.641227,0.190934
15.6703,1.984,4.95373,-0.834411,0.702621,-0.23351,0.644856,0.189624
15.7371,2.19199,4.88883,-0.869543,0.701632,-0.225043,0.644768,0.203327
15.8038,2.27748,4.95474,-0.86687,0.700323,-0.234007,0.6434,0.20205
15.8705,2.47598,5.02441,-0.864685,0.697163,-0.245506,0.640424,0.208682
15.9373,2.61887,5.11486,-0.861254,0.69097,-0.256201,0.641041,0.21445
16.004,2.76568,5.19471,-0.855837,0.696191,-0.248383,0.6373,0.217884
16.0707,2.71531,5.06207,-0.808704,0.68426,-0.252196,0.648896,0.21707
16.1375,2.86419,5.03563,-0.803239,0.676999,-0.260781,0.651679,0.221315
16.2042,2.89321,5.11769,-0.875888,0.672108,-0.264693,0.654221,0.224059
16.2709,3.02823,5.15938,-0.867151,0.675849,-0.258445,0.653539,0.222086
16.3377,2.95226,5.07904,-0.842373,0.668886,-0.259585,0.6629,0.213941
16.4044,2.96469,5.46532,-0.875244,0.66735,-0.26748,0.664243,0.204644
16.4711,3.00727,5.59157,-0.89447,0.665632,-0.270057,0.667804,0.195043
16.5379,2.94735,5.65666,-0.919575,0.662837,-0.271604,0.673486,0.182471
16.6046,2.87503,5.81273,-0.979017,0.660568,-0.26643,0.679858,0.174522
16.6713,2.87478,5.90272,-1.00748,0.659501,-0.261444,0.683871,0.170369
16.7381,2.96912,6.0828,-1.03473,0.654049,-0.268271,0.689145,0.159151
16.8048,3.01892,6.14517,-1.0396,0.652654,-0.271533,0.689818,0.156405
16.8715,3.09054,6.20332,-1.04002,0.653447,-0.273078,0.687765,0.15942
16.9383,3.11861,6.27068,-1.07109,0.654762,-0.265582,0.68886,0.161941
17.005,3.16446,6.35603,-1.07141,0.651516,-0.271924,0.689275,0.162739
17.0717,3.03144,6.44361,-1.12887,0.655801,-0.26297,0.689082,0.161053
17.1385,2.99073,6.51852,-1.16509,0.657277,-0.25969,0.689176,0.159952
17.2052,3.0629,6.57831,-1.16541,0.656787,-0.262755,0.687643,0.163516
17.2719,3.05786,6.64998,-1.15892,0.655587,-0.266287,0.687997,0.161114
17.3387,3.19479,6.72598,-1.15607,0.652598,-0.27295,0.687205,0.165421
17.4054,3.2542,6.78913,-1.185,0.653356,-0.276465,0.684252,0.168794
17.4721,3.34449,6.84756,-1.19037,0.651408,-0.282276,0.683385,0.170214
17.5389,3.40488,6.92822,-1.22007,0.651494,-0.284537,0.680718,0.176685
17.6056,3.40391,7.0171,-1.25254,0.651372,-0.286883,0.680302,0.174933
17.6723,3.36551,7.11401,-1.29266,0.649989,-0.284547,0.683713,0.170538
17.7391,3.40477,7.20709,-1.35284,0.65108,-0.282051,0.6821,0.176866
17.8058,3.26389,7.34432,-1.38939,0.653246,-0.275606,0.684255,0.170603
17.8725,3.2652,7.40141,-1.41522,0.654362,-0.27443,0.683681,0.170527
17.9393,3.25954,7.47544,-1.46297,0.654427,-0.272798,0.684212,0.170762
18.006,3.20659,7.49764,-1.55509,0.653437,-0.266265,0.688016,0.169579
18.0727,3.20888,7.6139,-1.54787,0.656019,-0.266639,0.686161,0.16651
18.1395,3.14544,7.71366,-1.56724,0.655681,-0.267256,0.688272,0.15792
18.2062,3.11882,7.81521,-1.59239,0.655671,-0.266723,0.689987,0.151239
18.2729,3.10598,7.87902,-1.6067,0.653582,-0.271002,0.691618,0.145096
18.3397,3.09695,7.93332,-1.60958,0.652573,-0.268675,0.694575,0.139738
18.4064,3.05054,7.96348,-1.64404,0.65156,-0.266193,0.697313,0.135518
18.4731,3.04568,8.03504,-1.69793,0.651367,-0.266171,0.697718,0.134401
18.5399,3.05066,8.09158,-1.72205,0.653924,-0.262967,0.695784,0.138263
18.6066,3.06063,8.15231,-1.74902,0.656637,-0.259605,0.692965,0.145714
18.6733,3.04258,8.19966,-1.79538,0.657232,-0.261602,0.691289,0.147413
18.7401,3.00737,8.25878,-1.85136,0.658549,-0.261207,0.690171,0.147473
18.8068,2.96457,8.34828,-1.88224,0.660759,-0.258655,0.68867,0.149095
18.8735,2.99844,8.37355,-1.90007,0.662568,-0.259535,0.685287,0.155009
18.9403,2.97437,8.42926,-1.92626,0.663363,-0.260112,0.684046,0.156119
19.007,2.97801,8.47308,-1.97102,0.661524,-0.262318,0.684989,0.156095
19.0737,2.98783,8.51409,-1.99995,0.661062,-0.266203,0.683815,0.156621
19.1405,2.92164,8.59573,-2.08138,0.659694,-0.266418,0.684818,0.15764
19.2072,2.90536,8.65126,-2.1017,0.659902,-0.267196,0.683646,0.160513
19.2739,2.85662,8.72278,-2.14069,0.661272,-0.266455,0.682719,0.160051
19.3407,2.82464,8.77874,-2.17777,0.661728,-0.263777,0.68401,0.15706
19.4074,2.80122,8.853,-2.22782,0.663717,-0.257901,0.68446,0.156465
19.4741,2.80541,8.87636,-2.25173,0.668186,-0.249694,0.684199,0.151829
19.5409,2.83692,8.88778,-2.26917,0.669748,-0.247002,0.685779,0.141897
19.6076,2.86145,8.90095,-2.29355,0.670751,-0.239554,0.690019,0.128765
19.6743,2.91645,8.90112,-2.31167,0.671749,-0.228127,0.694835,0.117969
19.7411,2.91726,8.93472,-2.33551,0.67221,-0.21704,0.700934,0.0985851
19.8078,2.92173,8.93945,-2.36027,0.672303,-0.201412,0.708096,0.0777357
19.8745,2.90859,8.95861,-2.36586,0.672651,-0.184063,0.714719,0.0532838
19.9413,2.89504,8.95251,-2.38169,0.666632,-0.166045,0.726051,0.0296834
20.008,2.82916,8.95623,-2.40294,0.667597,-0.145097,0.730194,0.00877728
20.0747,2.82862,8.93484,-2.42467,-0.668971,0.13116,-0.731535,0.011495
20.1415,2.79986,8.9072,-2.43706,-0.666367,0.108685,-0.736941,0.0325566
20.2082,2.763,8.89272,-2.48131,-0.661704,0.0852143,-0.743102,0.0518302
20.2749,2.71742,8.84099,-2.48372,-0.658806,0.0622262,-0.745706,0.0776206
20.3417,2.64336,8.80816,-2.49552,-0.655973,0.0317019,-0.747182,0.102045
20.4084,2.54978,8.77679,-2.51555,-0.653086,-0.000579658,-0.746573,0.126917
20.4751,2.45346,8.74465,-2.53373,-0.650928,-0.0313711,-0.742086,0.156897
20.5419,2.3829,8.67101,-2.5051,-0.65022,-0.0648447,-0.732753,0.189956
20.6086,2.3326,8.57694,-2.48104,-0.650397,-0.0996966,-0.720307,0.219548
20.6753,2.24823,8.50488,-2.45506,-0.644098,-0.136247,-0.711909,0.244458
20.7421,2.15791,8.42581,-2.45509,-0.636872,-0.160875,-0.702914,0.27281
20.8088,2.03181,8.35311,-2.48585,-0.626874,-0.192295,-0.693572,0.298344
20.8755,1.96315,8.24966,-2.49993,-0.617107,-0.218978,-0.682065,0.325599
20.9423,1.84388,8.16116,-2.51025,-0.603664,-0.250834,-0.668484,0.354684
21.009,1.77314,8.05089,-2.51201,-0.58911,-0.281433,-0.654471,0.381329
21.0757,1.70217,7.94123,-2.52964,-0.577525,-0.305621,-0.640114,0.404122
21.1425,1.61333,7.82652,-2.54063,-0.558196,-0.332768,-0.628858,0.426872
21.2092,1.53529,7.7155,-2.55533,-0.541398,-0.355231,-0.614029,0.451296
21.2759,1.44493,7.59169,-2.56898,-0.522822,-0.381062,-0.59949,0.471233
21.3427,1.36273,7.47657,-2.5859,-0.50503,-0.405925,-0.582877,0.490331
21.4094,1.27156,7.34165,-2.59426,-0.487335,-0.426821,-0.567879,0.507781
21.4761,1.21611,7.20945,-2.61589,-0.471041,-0.446513,-0.551767,0.523736
21.5429,1.16504,7.06955,-2.62813,-0.454554,-0.46444,-0.53576,0.539107
21.6096,1.01931,6.93279,-2.65052,-0.43623,-0.481872,-0.517061,0.556912
21.6763,0.93107,6.78612,-2.66688,-0.423845,-0.492104,-0.49786,0.574739
21.7431,0.903125,6.64328,-2.70881,-0.415976,-0.499772,-0.48246,0.586877
21.8098,0.851904,6.45964,-2.72681,-0.401732,-0.503251,-0.471901,0.602212
21.8765,0.822748,6.31485,-2.74206,-0.390983,-0.510983,-0.464133,0.608778
21.9433,0.714117,6.12278,-2.7788,-0.383532,-0.51478,-0.450991,0.62009
22.01,0.614158,5.93587,-2.82018,-0.370078,-0.527297,-0.444675,0.622305
