t,reproj_rms_px,reproj_feats
6.32767,3.47514,17
6.3944,4.98136,90
6.46113,2.81675,93
6.52787,2.47808,38
6.5946,1.85124,4
6.66133,2.68528,5
6.72807,2.23949,7
6.7948,2.60279,17
6.86153,2.82984,19
6.92827,3.69104,20
6.995,4.10103,13
7.06173,3.25814,25
7.12847,3.67928,13
7.1952,3.3177,15
7.26193,2.86528,18
7.32867,4.2339,17
7.3954,2.91454,35
7.46213,2.59462,64
7.52887,2.05905,59
7.5956,2.66022,52
7.66233,3.44212,42
7.72907,3.69981,64
7.7958,4.18768,134
7.86253,5.60234,45
7.92927,5.92558,50
7.996,7.13628,17
8.06273,7.87183,80
8.12947,7.68076,100
8.1962,4.71732,2
8.26293,6.39658,19
8.32967,9.70985,31
8.3964,2.44761,2
8.46313,7.6526,14
8.52987,4.87619,17
8.5966,7.25997,20
8.66333,7.27992,46
8.73007,3.91597,7
8.7968,7.49174,6
8.86353,6.20589,17
8.93027,6.01576,13
8.997,4.07439,12
9.06373,6.54687,17
9.13047,2.65357,17
9.1972,4.79665,14
9.26393,4.01425,3
9.33067,3.26426,8
9.3974,4.71812,52
9.46413,4.54771,38
9.53087,5.82588,52
9.5976,2.09775,0
9.66433,2.49379,66
9.73107,2.79147,24
9.7978,5.23933,13
9.86453,2.31826,18
9.93127,4.74686,35
9.998,4.02746,13
10.0647,2.93337,26
10.1315,3.15223,34
10.1982,2.96552,29
10.2649,3.05453,66
10.3317,7.28252,29
10.3984,2.12734,24
10.4651,2.69171,28
10.5319,3.87093,31
10.5986,5.79889,33
10.6653,5.04617,11
10.7321,5.16439,29
10.7988,2.8775,44
10.8655,3.15502,66
10.9323,3.56853,16
10.999,3.96874,48
11.0657,1.9214,13
11.1325,2.8976,18
11.1992,2.18117,41
11.2659,4.20259,13
11.3327,3.24878,28
11.3994,3.58629,46
11.4661,4.63213,1
11.5329,1.85606,16
11.5996,2.19104,6
11.6663,2.54411,4
11.7331,3.28821,29
11.7998,1.96875,33
11.8665,3.30818,26
11.9333,3.6059,33
12,2.88788,24
12.0667,3.16759,26
12.1335,4.95647,0
12.2002,1.67684,24
12.2669,2.71441,1
12.3337,3.27402,2
12.4004,3.27402,2
12.4671,4.3122,0
12.5339,3.74214,12
12.6006,3.74214,12
12.6673,3.45992,13
12.7341,3.86144,10
12.8008,3.49323,7
12.8675,4.88223,1
12.9343,5.79732,3
13.001,3.81979,16
13.0677,4.78477,5
13.1345,3.94779,5
13.2012,4.45371,15
13.2679,5.67948,7
13.3347,6.20352,23
13.4014,4.03397,27
13.4681,4.1541,13
13.5349,5.34132,3
13.6016,5.31823,24
13.6683,2.87371,15
13.7351,8.74152,1
13.8018,3.21173,12
13.8685,4.73687,1
13.9353,5.8649,16
14.002,3.24781,27
14.0687,3.83146,25
14.1355,5.87466,0
14.2022,3.66824,5
14.2689,3.38177,7
14.3357,4.67325,6
14.4024,5.14557,10
14.4691,4.03832,10
14.5359,4.51158,1
14.6026,3.26416,27
14.6693,2.23253,34
14.7361,2.60043,8
14.8028,4.68951,2
14.8695,3.59639,13
14.9363,1.78792,7
15.003,2.80242,18
15.0697,3.38658,17
15.1365,5.29623,10
15.2032,2.83679,43
15.2699,6.63973,4
15.3367,4.23664,6
15.4034,3.59236,9
15.4701,3.86813,3
15.5369,3.33517,12
15.6036,3.38584,25
15.6703,3.73256,58
15.7371,3.1539,86
15.8038,4.48647,19
15.8705,2.58044,8
15.9373,2.5733,4
16.004,3.37788,26
16.0707,3.53312,22
16.1375,2.93295,17
16.2042,3.07684,29
16.2709,2.13312,8
16.3377,3.19363,15
16.4044,3.16355,60
16.4711,3.37876,31
16.5379,2.92714,41
16.6046,3.79417,21
16.6713,2.33971,33
16.7381,2.74277,21
16.8048,2.38564,25
16.8715,2.38564,25
16.9383,2.48441,36
17.005,2.39135,16
17.0717,1.67677,4
17.1385,2.64942,11
17.2052,2.22443,6
17.2719,1.76407,33
17.3387,0.339248,0
17.4054,2.35186,9
17.4721,2.46609,41
17.5389,1.51757,11
17.6056,2.89866,12
17.6723,1.64259,37
17.7391,2.15312,33
17.8058,3.09654,22
17.8725,1.49831,1
17.9393,1.80934,23
18.006,2.27621,19
18.0727,1.88255,57
18.1395,1.93222,59
18.2062,1.41636,19
18.2729,1.9316,9
18.3397,2.65586,20
18.4064,1.98703,52
18.4731,2.95954,23
18.5399,1.94038,13
18.6066,3.0903,2
18.6733,1.43828,22
18.7401,1.79411,5
18.8068,2.27848,27
18.8735,2.1129,4
18.9403,2.60114,23
19.007,2.77099,19
19.0737,2.41515,43
19.1405,3.35926,32
19.2072,2.10902,20
19.2739,2.90628,75
19.3407,2.04251,0
19.4074,1.0623,23
19.4741,1.9582,30
19.5409,4.05524,5
19.6076,1.94252,7
19.6743,4.18323,40
19.7411,4.88206,37
19.8078,3.30275,29
19.8745,4.60539,69
19.9413,6.89848,19
20.008,10.3517,47
20.0747,5.01623,14
20.1415,2.69883,6
20.2082,5.33902,54
20.2749,6.88473,12
20.3417,5.97908,12
20.4084,7.61933,48
20.4751,11.4628,45
20.5419,7.50392,101
20.6086,6.18434,61
20.6753,9.9417,28
20.7421,7.4705,1
20.8088,7.53991,47
20.8755,9.86841,27
20.9423,6.0772,22
21.009,11.6214,16
21.0757,10.6441,45
21.1425,6.48772,17
21.2092,7.1259,31
21.2759,4.7199,21
21.3427,5.88636,21
21.4094,3.52692,9
21.4761,11.035,6
21.5429,10.6831,7
