frame,x,y,z
1.000000000000000000e+00,3.884459605011132410e+00,2.550354543500779614e-01,3.592438599561292190e+00
9.000000000000000000e+00,3.882202456575262417e+00,2.556197984278191782e-01,3.588427584867113662e+00
1.700000000000000000e+01,3.881131502011836876e+00,2.568569607814840117e-01,3.583661831049576030e+00
2.500000000000000000e+01,3.881126442889896833e+00,2.568821299237089018e-01,3.583665047267263759e+00
3.300000000000000000e+01,3.881350343073181719e+00,2.574654183975775279e-01,3.583216853138015523e+00
4.100000000000000000e+01,3.880596555467981990e+00,2.571671799791962476e-01,3.584397037485671955e+00
4.900000000000000000e+01,3.878370549820232327e+00,2.573988500300660731e-01,3.585679960898688456e+00
5.700000000000000000e+01,3.876670812274203293e+00,2.576190282385585339e-01,3.585866427032018411e+00
6.500000000000000000e+01,3.884082173376603997e+00,2.556007174605005594e-01,3.601586313356492486e+00
7.300000000000000000e+01,3.883710379007434987e+00,2.526478203404182166e-01,3.608002226420158109e+00
8.100000000000000000e+01,3.887659341868649143e+00,2.512497390318106927e-01,3.601814694857362831e+00
8.900000000000000000e+01,3.892683050087703212e+00,2.534974862576330201e-01,3.590198367565350601e+00
9.700000000000000000e+01,3.896745965509722076e+00,2.548815816451396321e-01,3.577753465792002263e+00
1.050000000000000000e+02,3.904018124130178791e+00,2.571317244108041744e-01,3.563689313995613173e+00
1.130000000000000000e+02,3.899825016994502125e+00,2.632084018731407071e-01,3.537053524164934792e+00
1.210000000000000000e+02,3.870418611412625332e+00,2.689884127645240097e-01,3.499957737015515491e+00
1.290000000000000000e+02,3.788882287646249569e+00,2.736648293835023948e-01,3.440358872685575609e+00
1.370000000000000000e+02,3.617054415101434550e+00,2.712024191458109468e-01,3.341991420689194303e+00
1.450000000000000000e+02,3.429822921708418626e+00,2.365125273278869400e-01,3.256732942283361965e+00
1.530000000000000000e+02,3.248629726457822553e+00,2.078324891351025494e-01,3.193808452189487834e+00
1.610000000000000000e+02,3.049514213405023710e+00,1.894119885809741333e-01,3.117572888938175968e+00
1.690000000000000000e+02,2.856090693334610187e+00,1.603981171777518200e-01,3.044460846028274936e+00
1.770000000000000000e+02,2.657023203746469164e+00,1.151243779494871139e-01,2.998652986098121698e+00
1.850000000000000000e+02,2.427644848856441939e+00,8.606298691259116340e-02,2.988835098341491303e+00
1.930000000000000000e+02,2.194950854874330837e+00,2.177888669100672484e-02,2.982231254070364379e+00
2.010000000000000000e+02,1.961272252089474755e+00,-2.646800733825151186e-02,2.980176904109632208e+00
2.090000000000000000e+02,1.718403809591865672e+00,-4.888899129521013381e-02,2.977844404682794988e+00
2.170000000000000000e+02,1.492853713217921152e+00,-1.052190610605200222e-01,2.955452632007511404e+00
2.250000000000000000e+02,1.269680579743864612e+00,-1.511599804130210334e-01,2.936629664056619848e+00
2.330000000000000000e+02,1.058432476018606350e+00,-1.783393672776997785e-01,2.914933794040839743e+00
2.410000000000000000e+02,9.119954212678440530e-01,-2.269751369795726392e-01,2.850381631285773043e+00
2.490000000000000000e+02,7.938684722465080279e-01,-2.261351891213926324e-01,2.742294399371524083e+00
2.570000000000000000e+02,7.394480248271888545e-01,-2.099271779004265037e-01,2.603727680777378595e+00
2.650000000000000000e+02,7.047104175710794394e-01,-1.936386240162590033e-01,2.454160175584439774e+00
2.730000000000000000e+02,7.126895552056096150e-01,-1.734364582591870485e-01,2.315813702305601129e+00
2.810000000000000000e+02,7.233302167168764729e-01,-1.424696156580812501e-01,2.157372823710962173e+00
2.890000000000000000e+02,7.496705014864681882e-01,-1.265636874757945507e-01,1.976325110169407928e+00
2.970000000000000000e+02,8.114662317962829663e-01,-1.016429548878586830e-01,1.813258586901990155e+00
3.050000000000000000e+02,9.452348814272525379e-01,-4.770134746531919795e-02,1.675218264962679449e+00
3.130000000000000000e+02,1.120683753153595807e+00,7.140384371331601372e-03,1.570517312299072765e+00
3.210000000000000000e+02,1.292764712182200570e+00,4.034207187624608282e-02,1.511457808838934991e+00
3.290000000000000000e+02,1.483125356822465379e+00,9.399275614270298507e-02,1.445195663923197760e+00
3.370000000000000000e+02,1.683899475896068809e+00,1.458101525731900772e-01,1.392838810273968830e+00
3.450000000000000000e+02,1.905751632520102268e+00,1.710313973493856055e-01,1.352390907298534950e+00
3.530000000000000000e+02,2.125175142737853129e+00,2.267450661824401970e-01,1.328491602364061164e+00
3.610000000000000000e+02,2.347644088322468292e+00,2.891920528753521569e-01,1.323543956662261989e+00
3.690000000000000000e+02,2.566265770136303637e+00,3.143066719980033286e-01,1.321321945519992491e+00
3.770000000000000000e+02,2.773372492023543856e+00,3.610131416534390625e-01,1.298150118219783211e+00
3.850000000000000000e+02,2.976733689260275373e+00,4.215718945503061366e-01,1.240294395899933733e+00
3.930000000000000000e+02,3.159190105755186995e+00,4.588416582855299186e-01,1.154681617452836262e+00
4.010000000000000000e+02,3.306181979939330162e+00,4.958458864119875131e-01,1.062820174052657274e+00
4.090000000000000000e+02,3.442775624653191091e+00,5.393031825836608339e-01,9.617398021245440187e-01
4.170000000000000000e+02,3.554277343528442046e+00,5.703498874434069776e-01,8.448018836061178538e-01
4.250000000000000000e+02,3.640839800534861670e+00,6.008102931279014625e-01,7.113043699362830985e-01
4.330000000000000000e+02,3.677595673192942893e+00,6.337381556829549956e-01,5.691350958042298291e-01
4.410000000000000000e+02,3.668750848673159481e+00,6.509671604113063115e-01,4.117348389397603725e-01
4.490000000000000000e+02,3.649765958110832376e+00,6.601377504310254052e-01,2.465514913782362594e-01
4.570000000000000000e+02,3.624135088970463325e+00,6.765889471769616081e-01,9.238665109258678565e-02
