frame,x,y,z
1.000000000000000000e+00,-3.582698056733362169e+00,6.325467533340548565e-01,-2.149924825581417398e+00
9.000000000000000000e+00,-3.580435858407483796e+00,6.325510680559504051e-01,-2.146627132995651888e+00
1.700000000000000000e+01,-3.579127285586327645e+00,6.332912732962945324e-01,-2.143027385118629446e+00
2.500000000000000000e+01,-3.578409451910646855e+00,6.333310803243077380e-01,-2.143405015729295648e+00
3.300000000000000000e+01,-3.578599147079735143e+00,6.337846636393452693e-01,-2.142688983934021518e+00
4.100000000000000000e+01,-3.578396497748572269e+00,6.336820573301468196e-01,-2.144129538304537785e+00
4.900000000000000000e+01,-3.576630502794289068e+00,6.336239506403961164e-01,-2.145553301823489800e+00
5.700000000000000000e+01,-3.575480908907821664e+00,6.337102290546743344e-01,-2.145752014787422723e+00
6.500000000000000000e+01,-3.583950324507701790e+00,6.333375188325934824e-01,-2.156661486238410586e+00
7.300000000000000000e+01,-3.584871416336292249e+00,6.312407242893951498e-01,-2.161807424833115832e+00
8.100000000000000000e+01,-3.586892403211322744e+00,6.300902259125428229e-01,-2.156849619765613735e+00
8.900000000000000000e+01,-3.588644207612884607e+00,6.316204027179307401e-01,-2.147381702115245261e+00
9.700000000000000000e+01,-3.589958683518630345e+00,6.324370488507568000e-01,-2.136390379267426809e+00
1.050000000000000000e+02,-3.593197729970854848e+00,6.339826901972357431e-01,-2.124321211683404709e+00
1.130000000000000000e+02,-3.585668307645609509e+00,6.372895586203712881e-01,-2.103614812456054306e+00
1.210000000000000000e+02,-3.556416606623685084e+00,6.381286049769800961e-01,-2.079444814566859812e+00
1.290000000000000000e+02,-3.483023905372320428e+00,6.333159475323509868e-01,-2.046206902997016464e+00
1.370000000000000000e+02,-3.333930681286557007e+00,6.153951251329592420e-01,-1.998521893536128857e+00
1.450000000000000000e+02,-3.175432248033015270e+00,5.695303314604673872e-01,-1.962054189748974720e+00
1.530000000000000000e+02,-3.029015561863186878e+00,5.320179636406445756e-01,-1.943010322468974094e+00
1.610000000000000000e+02,-2.862313718803811913e+00,5.023649640349360235e-01,-1.917799172959311571e+00
1.690000000000000000e+02,-2.700529006537318644e+00,4.588930231278233185e-01,-1.892264822530077772e+00
1.770000000000000000e+02,-2.543798070323435301e+00,4.136711352033627942e-01,-1.893142909450236111e+00
1.850000000000000000e+02,-2.365418148439820456e+00,3.734124394663853042e-01,-1.923848575414083273e+00
1.930000000000000000e+02,-2.188007360752285635e+00,3.073111501478245633e-01,-1.959080850770781757e+00
2.010000000000000000e+02,-2.009861895757784289e+00,2.542529185402260805e-01,-1.995754438341557746e+00
2.090000000000000000e+02,-1.822406002349838294e+00,2.201656949000907471e-01,-2.031182332893131548e+00
2.170000000000000000e+02,-1.645794454853327649e+00,1.587087405660875528e-01,-2.052654198514615391e+00
2.250000000000000000e+02,-1.473582842544377547e+00,1.073662834956035650e-01,-2.079103625520179133e+00
2.330000000000000000e+02,-1.307620189177449044e+00,7.188512033979993499e-02,-2.099386328049929862e+00
2.410000000000000000e+02,-1.182378942117553899e+00,1.959979340650166990e-02,-2.081000577570987442e+00
2.490000000000000000e+02,-1.085127681312144432e+00,-3.064049200808482368e-04,-2.001916228690134414e+00
2.570000000000000000e+02,-1.018468297107878895e+00,3.756206253360837733e-03,-1.904295165534516832e+00
2.650000000000000000e+02,-9.684155275217267711e-01,8.045139942378451078e-03,-1.791490265418435035e+00
2.730000000000000000e+02,-9.515849932288377167e-01,1.932079417914382355e-02,-1.678594531779547872e+00
2.810000000000000000e+02,-9.305563463940799140e-01,3.648088868216562558e-02,-1.549863807737806631e+00
2.890000000000000000e+02,-9.242078001395427345e-01,4.239552895657128229e-02,-1.403009511248137775e+00
2.970000000000000000e+02,-9.455027151415130726e-01,5.882933110804782623e-02,-1.265297126093644975e+00
3.050000000000000000e+02,-1.024840474614200136e+00,1.063105359164692593e-01,-1.132631255429133121e+00
3.130000000000000000e+02,-1.144743852311603582e+00,1.578705461881021732e-01,-1.024236603126637890e+00
3.210000000000000000e+02,-1.262722189177210463e+00,1.914145523065447496e-01,-9.457437524653043992e-01
3.290000000000000000e+02,-1.394586521951614255e+00,2.442817750461648008e-01,-8.630229499961632467e-01
3.370000000000000000e+02,-1.539032872832961862e+00,2.929826163923202054e-01,-7.896868566411140433e-01
3.450000000000000000e+02,-1.702280008207427420e+00,3.272086965130920344e-01,-7.198861910999010405e-01
3.530000000000000000e+02,-1.864558773688310467e+00,3.843307502601020498e-01,-6.633053345339525730e-01
3.610000000000000000e+02,-2.031650343851516993e+00,4.482371654768432245e-01,-6.212077291915140131e-01
3.690000000000000000e+02,-2.198981673449839747e+00,4.831541767435846291e-01,-5.824701754457801695e-01
3.770000000000000000e+02,-2.352049335555722376e+00,5.331128631991202127e-01,-5.298468315791803329e-01
3.850000000000000000e+02,-2.495714378406229450e+00,5.905547243884633479e-01,-4.491912627322399154e-01
3.930000000000000000e+02,-2.622524254779945441e+00,6.259625566958716414e-01,-3.516081522478693988e-01
4.010000000000000000e+02,-2.719632907138203937e+00,6.604872346287875562e-01,-2.541309242744776431e-01
4.090000000000000000e+02,-2.806452493182138408e+00,6.982402658392382611e-01,-1.532097921489265213e-01
4.170000000000000000e+02,-2.875437596217597758e+00,7.258733111133083282e-01,-4.098301402174751168e-02
4.250000000000000000e+02,-2.919500917036149445e+00,7.499292153251309045e-01,7.731517428517309387e-02
4.330000000000000000e+02,-2.923562672726643719e+00,7.718821164657361233e-01,1.952004790104386878e-01
4.410000000000000000e+02,-2.892000432812273925e+00,7.771418372398262164e-01,3.159995542146528669e-01
4.490000000000000000e+02,-2.850841721998252698e+00,7.748145440868585698e-01,4.418086065066436086e-01
4.570000000000000000e+02,-2.805668263309216481e+00,7.787601401232947529e-01,5.585913757132128232e-01
4.650000000000000000e+02,-2.767425045595904187e+00,7.921864348426610469e-01,6.800054090746803226e-01
4.730000000000000000e+02,-2.747019424873508697e+00,7.944437329034617079e-01,7.948502177315678319e-01
4.810000000000000000e+02,-2.710444408522494797e+00,7.975653874392566456e-01,9.121810150318661048e-01
4.890000000000000000e+02,-2.671185731369464911e+00,8.089975077442764784e-01,1.042376627764814767e+00
4.970000000000000000e+02,-2.615096265507481643e+00,8.106008031878438880e-01,1.181166391648000413e+00
5.050000000000000000e+02,-2.569450545815342046e+00,8.090638953851457815e-01,1.330260017823124974e+00
5.130000000000000000e+02,-2.529247544663713043e+00,8.239610528868576145e-01,1.485153594402407906e+00
5.210000000000000000e+02,-2.518344353477756314e+00,8.591670882951637500e-01,1.652575385475677949e+00
5.290000000000000000e+02,-2.517836540587807814e+00,8.717691458232093016e-01,1.827676613331750355e+00
5.370000000000000000e+02,-2.514758442388757675e+00,8.910770413109428967e-01,1.995004054789454306e+00
5.450000000000000000e+02,-2.500559461865909494e+00,9.182140329097934206e-01,2.157979543724826588e+00
5.530000000000000000e+02,-2.491046359349377237e+00,9.199500850319457523e-01,2.323123768012721690e+00
5.610000000000000000e+02,-2.461596956478286469e+00,9.293807107845714066e-01,2.486278128885913485e+00
5.690000000000000000e+02,-2.447189123061963567e+00,9.526149582758879353e-01,2.632739406086794798e+00
5.770000000000000000e+02,-2.448435483553611292e+00,9.716026002781882331e-01,2.787255454755316553e+00
5.850000000000000000e+02,-2.454638645995483426e+00,9.854306627956476161e-01,2.927889883628843393e+00
5.930000000000000000e+02,-2.468399126168903113e+00,1.003919251060684914e+00,3.043675458110733700e+00
6.010000000000000000e+02,-2.496300334932457954e+00,1.020932863517953981e+00,3.145282752432775109e+00
6.090000000000000000e+02,-2.549747607857928422e+00,1.043064172039052995e+00,3.204719106165523357e+00
6.170000000000000000e+02,-2.632630453891120492e+00,1.068745180042077303e+00,3.185891575593901237e+00
6.250000000000000000e+02,-2.701956411736543551e+00,1.082339331011803019e+00,3.088877321044928070e+00
6.330000000000000000e+02,-2.735076798337089610e+00,1.073463323497448663e+00,2.958283614158972341e+00
6.410000000000000000e+02,-2.753695778546529915e+00,1.066452883008101260e+00,2.825835303297450363e+00
6.490000000000000000e+02,-2.778690262509451614e+00,1.062273201801807510e+00,2.682901398862941988e+00
6.570000000000000000e+02,-2.797497540697570617e+00,1.033942727681874008e+00,2.551525440847794979e+00
6.650000000000000000e+02,-2.791273698649900048e+00,1.017226319421316694e+00,2.424622893603003426e+00
6.730000000000000000e+02,-2.746464528146044692e+00,1.003018261959566892e+00,2.291464366620649784e+00
6.810000000000000000e+02,-2.697772932658403899e+00,9.652943378638594307e-01,2.163138364587641860e+00
6.890000000000000000e+02,-2.651774776281387247e+00,9.324327427163012771e-01,2.022913298085471823e+00
6.970000000000000000e+02,-2.614087529275846755e+00,9.080854908703529516e-01,1.862511910959651962e+00
7.050000000000000000e+02,-2.586837376599628424e+00,8.694734347744225156e-01,1.690187435518841763e+00
7.130000000000000000e+02,-2.560419471407367364e+00,8.384643265153148839e-01,1.529751575185337664e+00
7.210000000000000000e+02,-2.519606353669763710e+00,8.226060853317955779e-01,1.374734345979262917e+00
7.290000000000000000e+02,-2.501808208710645243e+00,7.919869009441445895e-01,1.231277168640327213e+00
7.370000000000000000e+02,-2.506458310336399542e+00,7.780443946676433020e-01,1.080861251146231661e+00
7.450000000000000000e+02,-2.541020291911445295e+00,7.772689301558440844e-01,9.166119357703743642e-01
7.530000000000000000e+02,-2.589933609890453070e+00,7.549079647615734023e-01,7.503675633248395593e-01
7.610000000000000000e+02,-2.631097498581278504e+00,7.480449372152880860e-01,5.727008748378479286e-01
7.690000000000000000e+02,-2.656024296677505170e+00,7.495014344810320139e-01,3.947335051861237676e-01
7.770000000000000000e+02,-2.662333020303009778e+00,7.213998491602272578e-01,2.236405017313025934e-01
7.850000000000000000e+02,-2.655484790949191432e+00,7.017525428844797464e-01,5.055703522361625762e-02
7.930000000000000000e+02,-2.625406064347192370e+00,6.792514134678150350e-01,-1.268816204092972910e-01
8.010000000000000000e+02,-2.566298543955726430e+00,6.247902893179714257e-01,-2.875827199696008307e-01
8.090000000000000000e+02,-2.478618523772753157e+00,5.869368826842957798e-01,-4.294614247710388244e-01
8.170000000000000000e+02,-2.360826290085631385e+00,5.604849961602084152e-01,-5.551039890521921594e-01
8.250000000000000000e+02,-2.244062397682934584e+00,5.013891696287023914e-01,-6.559564110309141771e-01
8.330000000000000000e+02,-2.106204556425192997e+00,4.580975008184974273e-01,-7.412978865820583074e-01
8.410000000000000000e+02,-1.951422869213969680e+00,4.156797855524819729e-01,-8.155112520005917132e-01
8.490000000000000000e+02,-1.792321039956872974e+00,3.440588099338114381e-01,-8.754074315062390088e-01
8.570000000000000000e+02,-1.621770283547797620e+00,2.985793774067601047e-01,-9.087316947013249768e-01
8.650000000000000000e+02,-1.456522161145707539e+00,2.751255770454911764e-01,-8.893474790147380959e-01
8.730000000000000000e+02,-1.290897973367683305e+00,2.229159477142649559e-01,-8.412693387934968570e-01
8.810000000000000000e+02,-1.127816681131911247e+00,1.938167332130261988e-01,-7.866093746153505206e-01
8.890000000000000000e+02,-9.592217832281073608e-01,1.621841628814206238e-01,-7.453200191277846720e-01
8.970000000000000000e+02,-8.062133278574786788e-01,1.116468705600113381e-01,-6.965221405647592512e-01
9.050000000000000000e+02,-6.629678106533998250e-01,9.260984601523275517e-02,-6.290722785144995388e-01
9.130000000000000000e+02,-5.447834229294625796e-01,8.035663565980168122e-02,-5.622541853364080300e-01
9.210000000000000000e+02,-4.367247271207813641e-01,5.717495098373668455e-02,-4.701750310698066260e-01
9.290000000000000000e+02,-3.365846479157056925e-01,4.013025000486478838e-02,-3.692719106883856628e-01
9.370000000000000000e+02,-2.575591742093777392e-01,3.935053559022835823e-02,-2.644482223343914140e-01
9.450000000000000000e+02,-2.099964911246116894e-01,4.086710898631611827e-02,-1.776324881511579801e-01
9.530000000000000000e+02,-1.790948094851512462e-01,4.594569918257317837e-02,-7.871547571823837852e-02
9.610000000000000000e+02,-1.419230065121362960e-01,6.339384391503573302e-02,6.542664231010737741e-02
9.690000000000000000e+02,-9.993493792179312940e-02,5.543706608296031235e-02,2.485810836755910636e-01
9.770000000000000000e+02,-5.146923610726033410e-02,5.699399459241903665e-02,4.002202640997586380e-01
9.850000000000000000e+02,2.594699956246082628e-02,5.207066521731990721e-02,5.032337306872162186e-01
9.930000000000000000e+02,1.289035249363459645e-01,2.409395380385544183e-02,5.712686476038758565e-01
1.001000000000000000e+03,2.269195060855595247e-01,-3.085305986243231172e-03,6.299376827064768758e-01
1.009000000000000000e+03,3.369494345846207883e-01,-1.997694324399672955e-02,6.879412255735436466e-01
1.017000000000000000e+03,4.352477715606000164e-01,-3.285455288205887253e-02,7.410055561089883280e-01
1.025000000000000000e+03,5.368037384175784466e-01,-4.531213571912012100e-02,7.835866950862171443e-01
1.033000000000000000e+03,6.381513147580213374e-01,-4.324313055930043698e-02,8.043337584906032900e-01
1.041000000000000000e+03,7.715393599092906785e-01,-3.751782612825379365e-02,7.958365629487006432e-01
1.049000000000000000e+03,9.369560442425567404e-01,-4.175863329094831045e-02,7.767202131052409753e-01
1.057000000000000000e+03,1.090156625766065313e+00,-4.838725819783791515e-02,7.704058386781441614e-01
1.065000000000000000e+03,1.237483225040539203e+00,-5.303256676345183274e-02,7.816390617036480526e-01
