frame,x,y,z
1.000000000000000000e+00,-1.120680910315556139e-01,2.833662608215834280e-02,1.034484015120123029e-01
1.700000000000000000e+01,-1.067105908928462493e-01,3.039421564472775256e-02,1.034711766016471884e-01
3.300000000000000000e+01,-1.166238713230447477e-01,2.426169694458765042e-02,9.006734627047913166e-02
4.900000000000000000e+01,-1.137438675856390358e-01,1.623235131679056156e-02,6.554910682616517381e-02
6.500000000000000000e+01,-1.108625241702508590e-01,1.099868235138442771e-02,6.689367343610580496e-02
8.100000000000000000e+01,-5.194895829928621728e-02,1.428689547510092299e-02,1.164500769307976868e-03
9.700000000000000000e+01,-1.061400036234288052e-01,-2.254318244315131267e-02,-1.768830574252098012e-02
1.130000000000000000e+02,-1.351495623652683720e-01,-2.539755478742251188e-02,-2.216617350911171888e-02
1.290000000000000000e+02,-1.119359661689768859e-01,8.604379334042535493e-03,-1.592441393367803951e-02
1.450000000000000000e+02,-6.393753030823270955e-02,2.539890745339471248e-02,-1.490932684923235683e-02
1.610000000000000000e+02,-9.281573038135113030e-02,1.250575046433267251e-02,-3.022587794200995437e-02
1.770000000000000000e+02,-1.451844514099190631e-01,-1.468855849772165989e-02,-4.123501488476315202e-02
1.930000000000000000e+02,-1.747544872761512269e-01,-2.561067693513369159e-02,-3.697002152675496478e-02
2.090000000000000000e+02,-1.521076495262807526e-01,-5.436613333727716331e-03,-3.704926330245670446e-02
2.250000000000000000e+02,-7.749132859452846633e-02,3.728199824745644791e-02,-5.405875617426610796e-02
2.410000000000000000e+02,-7.366414327532121165e-02,3.860609861475746557e-02,-4.671127535568133510e-02
2.570000000000000000e+02,-1.154362141061427427e-01,2.206525319618297953e-02,-4.248342234411839335e-02
2.730000000000000000e+02,-3.348985468961650225e-02,5.664491650213373392e-02,-7.371274511379007370e-05
2.890000000000000000e+02,6.984551197329223748e-02,7.756941416948341661e-02,2.302094002708845663e-02
3.050000000000000000e+02,2.178004194852784306e-02,5.526319549113410667e-02,2.803388752984798532e-02
3.210000000000000000e+02,2.122797333385577009e-02,7.651253688171691381e-02,3.735179463996140398e-02
3.370000000000000000e+02,6.655865023911260170e-02,9.513575715878055949e-02,7.449696090623868228e-02
3.530000000000000000e+02,1.928930677996722881e-02,6.763294011669016004e-02,5.071577658629805585e-02
3.690000000000000000e+02,-3.826410087819261986e-03,4.236366611601452559e-02,1.766844177565840210e-02
