t,px,py,pz,qx,qy,qz,qw
5.25993,-0.0399882,-0.14599,-0.0452026,0.702424,-0.0714617,0.695843,0.131515
5.32667,-0.0550277,-0.0775035,-0.00572867,0.703532,-0.0627221,0.695996,0.129225
5.3934,-0.0885123,-0.0472142,-0.0119739,0.705474,-0.0660654,0.693511,0.130326
5.46013,-0.125683,-0.0271454,-0.0109124,0.702628,-0.0802733,0.694525,0.132307
5.52687,-0.164129,-0.0199466,-0.00591021,0.707118,-0.0833834,0.687965,0.140481
5.5936,-0.203961,0.00384096,-0.00572961,0.70933,-0.0855184,0.683161,0.151094
5.66033,-0.249703,0.014308,-0.00252272,0.708722,-0.0957094,0.682793,0.149488
5.72707,-0.299675,0.0353266,0.000194949,0.710306,-0.0948588,0.6796,0.156882
5.7938,-0.348692,0.0315475,-0.00902729,0.709967,-0.0983244,0.678694,0.160169
5.86053,-0.403401,0.0632793,-0.0247756,0.714382,-0.101871,0.673759,0.159153
5.92727,-0.45448,0.0872061,-0.0328896,0.716751,-0.100927,0.671384,0.159138
5.994,-0.507908,0.112947,-0.0435789,0.724104,-0.0866025,0.667262,0.151444
6.06073,-0.540199,0.218424,-0.0697566,0.729702,-0.0828869,0.66169,0.151101
6.12747,-0.567154,0.323917,-0.0778469,0.731442,-0.0823452,0.663345,0.134854
6.1942,-0.606483,0.380089,-0.0954799,0.731926,-0.090299,0.662923,0.129086
6.26093,-0.607477,0.389816,-0.0884676,0.730421,-0.0926966,0.66494,0.125485
6.32767,-0.593911,0.471452,-0.0964004,0.726383,-0.0934232,0.670439,0.118963
6.3944,-0.629433,0.523538,-0.106458,0.725752,-0.0914097,0.671754,0.116938
6.46113,-0.665092,0.576583,-0.117954,0.726174,-0.0914309,0.672161,0.111857
6.52787,-0.704684,0.648265,-0.153169,0.728577,-0.0919935,0.668695,0.116449
6.5946,-0.67242,0.682046,-0.13451,0.733381,-0.0970162,0.661803,0.121479
6.66133,-0.667724,0.660299,-0.258756,0.724037,-0.105787,0.672332,0.112023
6.72807,-0.699024,0.743762,-0.297325,0.731222,-0.111771,0.664999,0.102944
6.7948,-0.710667,0.727437,-0.346004,0.728948,-0.104865,0.670048,0.0931303
6.86153,-0.712276,0.752061,-0.331862,0.730062,-0.112467,0.668027,0.089999
6.92827,-0.707055,0.765353,-0.35444,0.727471,-0.117144,0.670242,0.0885373
6.995,-0.753485,0.798969,-0.362258,0.731742,-0.12108,0.664605,0.0905187
