t,px,py,pz,qx,qy,qz,qw
5.25993,-0.16753,0.0745064,0.0731757,0.695245,-0.0669979,0.698383,0.156228
5.32667,-0.101475,0.0233264,0.0645282,0.705538,-0.0669212,0.688424,0.154309
5.3934,-0.127183,0.0164522,0.0556761,0.704031,-0.0751803,0.686606,0.165107
5.46013,-0.156603,0.0243,0.0548137,0.704328,-0.0902352,0.682975,0.171245
5.52687,-0.179315,0.0334357,0.0574483,0.706659,-0.0918438,0.677134,0.18354
5.5936,-0.200469,0.0303121,0.0577834,0.708107,-0.10132,0.67283,0.18873
5.66033,-0.227618,0.0365596,0.0735864,0.706939,-0.104375,0.671645,0.195542
5.72707,-0.235113,0.0379632,0.0693738,0.720467,-0.101969,0.658587,0.191814
5.7938,-0.259418,0.0434297,0.0962319,0.728156,-0.102056,0.648027,0.198578
5.86053,-0.281911,0.0579115,0.0827102,0.733023,-0.105124,0.640849,0.202333
5.92727,-0.275451,0.0423327,0.0690582,0.735456,-0.104105,0.639608,0.197909
5.994,-0.274677,0.0458833,0.0774893,0.741656,-0.0935788,0.631898,0.204681
6.06073,-0.294009,0.0873299,0.0964513,0.739649,-0.0914517,0.63206,0.212263
6.12747,-0.285042,0.102303,0.10782,0.745056,-0.0878395,0.628831,0.20432
6.1942,-0.286075,0.127925,0.113225,0.739764,-0.0953568,0.634656,0.20216
6.26093,-0.281977,0.146245,0.113889,0.732663,-0.100064,0.642397,0.20129
6.32767,-0.266585,0.172678,0.126564,0.735597,-0.0942828,0.639006,0.204155
6.3944,-0.247444,0.19622,0.133501,0.73454,-0.0942042,0.641471,0.200228
6.46113,-0.219371,0.221985,0.139957,0.735488,-0.0997126,0.643431,0.187381
6.52787,-0.207198,0.245746,0.146464,0.738285,-0.0902725,0.640756,0.190309
6.5946,-0.20124,0.269212,0.146949,0.737046,-0.0879925,0.642147,0.191488
6.66133,-0.190103,0.276502,0.160045,0.742045,-0.082605,0.63644,0.19362
6.72807,-0.182727,0.302298,0.168954,0.745276,-0.0796019,0.630884,0.20053
6.7948,-0.194245,0.33001,0.151802,0.745531,-0.080373,0.628731,0.205963
6.86153,-0.192004,0.336199,0.145494,0.745873,-0.0834949,0.628052,0.205556
6.92827,-0.201876,0.358469,0.140963,0.747608,-0.0893675,0.625684,0.203996
6.995,-0.204013,0.37793,0.150073,0.74613,-0.0972437,0.626956,0.20189
7.06173,-0.203178,0.386598,0.160537,0.742545,-0.108697,0.62941,0.20163
7.12847,-0.196407,0.428812,0.178458,0.743967,-0.109184,0.630895,0.191217
7.1952,-0.196544,0.447948,0.183005,0.73962,-0.117663,0.636854,0.183125
7.26193,-0.208351,0.453665,0.192039,0.738009,-0.116431,0.637499,0.188101
7.32867,-0.215082,0.464452,0.196906,0.740319,-0.116034,0.635775,0.185078
7.3954,-0.220046,0.479364,0.201631,0.740049,-0.112886,0.6371,0.183546
