t,reproj_rms_px,reproj_feats
5.25993,3.35587,12
5.32667,4.29733,139
5.3934,4.62835,165
5.46013,2.53012,78
5.52687,2.53052,13
5.5936,2.28998,10
5.66033,3.35281,19
5.72707,3.77292,43
5.7938,4.43728,29
5.86053,4.19684,14
5.92727,3.21388,11
5.994,2.54842,23
6.06073,4.37902,51
6.12747,3.06359,72
6.1942,3.25212,107
6.26093,2.74207,74
6.32767,2.48923,45
6.3944,2.63017,30
6.46113,3.85912,6
6.52787,1.38779,21
6.5946,2.01561,14
6.66133,3.45879,2
6.72807,3.05619,6
6.7948,4.47702,7
6.86153,2.21139,0
6.92827,2.50304,31
6.995,2.94163,27
7.06173,2.60244,41
7.12847,3.8454,19
7.1952,2.26203,32
7.26193,4.08693,39
7.32867,2.80237,49
7.3954,3.30837,37
7.46213,2.46402,30
7.52887,3.19735,59
7.5956,2.75647,38
7.66233,2.70722,66
7.72907,5.1854,51
7.7958,6.2612,85
7.86253,8.6303,88
7.92927,5.53908,28
7.996,5.80038,12
8.06273,9.2388,35
8.12947,6.74398,10
8.1962,7.0693,7
8.26293,3.72041,22
8.32967,10.7971,8
8.3964,3.32877,5
8.46313,3.11963,18
8.52987,9.22424,12
8.5966,7.27587,65
8.66333,1.7386,3
8.73007,6.86613,45
8.7968,4.8434,14
8.86353,7.09006,20
8.93027,4.29152,15
8.997,5.74692,21
9.06373,7.31374,13
9.13047,5.61494,31
9.1972,5.45786,11
9.26393,2.18839,0
9.33067,6.05547,9
9.3974,4.51025,30
9.46413,6.5542,33
9.53087,4.29845,21
9.5976,9.41386,1
9.66433,5.00564,6
9.73107,7.72508,3
9.7978,4.42367,14
9.86453,4.51057,3
9.93127,7.16275,18
9.998,5.30756,4
10.0647,5.80607,24
10.1315,5.16502,38
10.1982,4.80578,29
10.2649,5.75862,29
10.3317,7.30918,17
10.3984,3.65528,11
10.4651,5.21662,19
10.5319,4.91235,21
10.5986,3.56783,4
10.6653,5.66548,24
10.7321,3.27182,10
10.7988,3.88827,20
10.8655,2.72006,20
10.9323,5.03436,10
10.999,3.30505,32
11.0657,4.67406,36
11.1325,4.66619,14
11.1992,3.91117,7
11.2659,4.69125,11
11.3327,3.1526,22
11.3994,3.12187,7
11.4661,3.85469,3
11.5329,1.96419,4
11.5996,4.48528,15
11.6663,4.48528,15
11.7331,3.65374,5
11.7998,3.53847,10
11.8665,2.88237,50
11.9333,2.7504,23
12,1.59438,11
12.0667,2.21141,20
12.1335,1.67002,9
12.2002,3.21037,6
12.2669,4.02888,4
12.3337,4.02888,4
12.4004,4.02888,4
12.4671,4.02888,4
12.5339,2.31184,2
12.6006,2.44708,11
12.6673,2.69283,13
12.7341,2.69283,13
12.8008,3.73643,24
12.8675,3.94785,21
12.9343,1.73198,3
13.001,4.96638,36
13.0677,4.78483,93
13.1345,5.11059,21
13.2012,4.78388,47
13.2679,5.4782,22
13.3347,3.90963,22
13.4014,5.23277,27
13.4681,2.68877,9
13.5349,4.25556,10
13.6016,3.79686,14
13.6683,3.37276,4
13.7351,3.68832,4
13.8018,6.88512,29
13.8685,2.58725,10
13.9353,5.23637,6
14.002,4.70831,6
14.0687,2.84542,7
14.1355,3.6161,5
14.2022,4.86697,5
14.2689,4.77032,22
14.3357,2.62762,2
14.4024,5.11261,22
14.4691,2.35023,13
14.5359,5.10907,4
14.6026,3.15948,31
14.6693,2.20678,27
14.7361,2.29804,15
14.8028,2.22674,14
14.8695,1.7372,23
14.9363,1.68809,22
15.003,2.2881,9
15.0697,2.81217,34
15.1365,2.75486,11
15.2032,3.72735,28
15.2699,2.62546,24
15.3367,3.5214,15
15.4034,3.52464,44
15.4701,4.01616,8
15.5369,4.6956,23
15.6036,2.98996,31
15.6703,3.61045,15
15.7371,3.34726,59
15.8038,6.07986,24
15.8705,1.95286,17
15.9373,3.9545,16
16.004,2.63492,13
16.0707,2.70501,6
16.1375,3.72259,28
16.2042,4.26924,9
16.2709,2.24462,32
16.3377,2.08826,15
16.4044,2.84797,49
16.4711,2.56361,19
16.5379,2.07344,35
16.6046,2.43208,19
16.6713,3.83894,29
16.7381,2.65338,39
16.8048,2.40313,9
16.8715,2.01317,25
16.9383,2.88896,78
17.005,2.66344,28
17.0717,2.6875,17
17.1385,3.87665,6
17.2052,2.28004,20
17.2719,2.15782,6
17.3387,0.75368,4
17.4054,3.43042,18
17.4721,1.8736,22
17.5389,2.8873,50
17.6056,1.2233,72
17.6723,2.55152,28
17.7391,1.34999,33
17.8058,1.2897,36
17.8725,2.11618,29
17.9393,2.04941,62
18.006,1.40957,31
18.0727,2.32568,78
18.1395,1.86279,104
18.2062,1.72114,23
18.2729,2.27678,8
18.3397,2.71309,140
18.4064,2.60165,4
18.4731,1.80666,36
18.5399,2.39361,20
18.6066,2.48447,33
18.6733,2.32516,38
18.7401,4.1104,4
18.8068,2.67895,9
18.8735,2.32122,7
18.9403,3.48706,16
19.007,1.87908,4
19.0737,1.97534,19
19.1405,1.56499,21
19.2072,1.99807,15
19.2739,1.66179,43
19.3407,2.78472,6
19.4074,1.07154,31
19.4741,1.70869,28
19.5409,5.73806,6
19.6076,5.23589,49
19.6743,3.47346,55
19.7411,6.30183,46
19.8078,5.99905,24
19.8745,8.3992,29
19.9413,8.06003,21
20.008,8.91283,38
20.0747,7.1419,32
20.1415,2.86076,2
20.2082,5.37812,51
20.2749,6.87829,34
20.3417,1.94131,5
20.4084,11.6898,34
20.4751,9.35044,58
20.5419,8.15317,32
20.6086,8.08422,45
20.6753,12.9799,29
20.7421,11.2834,23
20.8088,9.85068,40
20.8755,9.05414,61
20.9423,7.31195,19
21.009,10.9221,73
21.0757,10.639,53
21.1425,9.78478,34
21.2092,5.13977,28
21.2759,8.39048,19
21.3427,6.71779,23
