t,px,py,pz,qx,qy,qz,qw
10.1315,0.0214324,-0.0832786,-0.023024,-0.425623,-0.561211,-0.467672,0.534014
10.1982,0.0313899,-0.108635,-0.03097,-0.411679,-0.571536,-0.45205,0.547282
10.2649,0.0441197,-0.136003,-0.0389238,-0.396922,-0.582765,-0.434313,0.560545
10.3317,0.0600379,-0.165209,-0.0443801,-0.384028,-0.589631,-0.415761,0.576195
10.3984,0.0747328,-0.192535,-0.0467951,-0.364084,-0.606421,-0.398926,0.58357
10.4651,0.0974936,-0.216543,-0.0503734,-0.352597,-0.616328,-0.377291,0.594531
10.5319,0.125791,-0.240158,-0.0556656,-0.341673,-0.622664,-0.35606,0.607265
10.5986,0.153157,-0.2653,-0.0598437,-0.328251,-0.629151,-0.341133,0.616481
10.6653,0.178315,-0.291248,-0.0648795,-0.309656,-0.63984,-0.329148,0.621594
10.7321,0.204935,-0.317673,-0.0719718,-0.294463,-0.647749,-0.317664,0.626739
10.7988,0.23337,-0.344715,-0.0803143,-0.280541,-0.653901,-0.305094,0.632951
10.8655,0.262202,-0.372471,-0.089858,-0.261293,-0.663445,-0.292552,0.637166
10.9323,0.293385,-0.399769,-0.100444,-0.24846,-0.669093,-0.278794,0.642538
10.999,0.325638,-0.428309,-0.111763,-0.23152,-0.675703,-0.266741,0.647049
11.0657,0.360262,-0.456224,-0.121887,-0.225277,-0.677137,-0.254076,0.652825
11.1325,0.397126,-0.484572,-0.130839,-0.210566,-0.680509,-0.239025,0.659876
11.1992,0.437778,-0.510521,-0.137767,-0.207333,-0.679061,-0.220479,0.668788
11.2659,0.478274,-0.537931,-0.140051,-0.201204,-0.679437,-0.207942,0.674272
11.3327,0.520176,-0.567359,-0.143093,-0.186395,-0.680713,-0.19894,0.679934
11.3994,0.565072,-0.594,-0.150962,-0.175903,-0.682504,-0.189464,0.68363
11.4661,0.612461,-0.620425,-0.160224,-0.167245,-0.682797,-0.181551,0.687645
11.5329,0.660265,-0.648511,-0.169733,-0.155487,-0.685638,-0.178042,0.688495
11.5996,0.307119,-0.973063,-0.127399,-0.137121,-0.692777,-0.184063,0.683651
11.6663,-0.910465,-3.20242,0.635183,-0.195022,-0.646473,-0.22025,0.703938
11.7331,-1.2279,-3.79934,0.707102,-0.226672,-0.630306,-0.225865,0.707332
11.7998,-0.834309,-3.80215,0.290909,-0.236166,-0.617357,-0.239077,0.711293
11.8665,-3.83909,-6.331,3.68409,-0.245782,-0.559962,-0.260277,0.747188
11.9333,-3.78141,-6.62152,3.15878,-0.229922,-0.568581,-0.183492,0.768234
12,-3.84594,-6.80242,3.30724,-0.234318,-0.559718,-0.185394,0.772942
12.0667,-3.41837,-7.05971,3.11952,-0.216235,-0.566173,-0.201179,0.769556
12.1335,-3.59656,-7.47661,3.46842,-0.228042,-0.566769,-0.198514,0.766395
12.2002,-3.41466,-7.33126,3.04728,-0.224292,-0.575395,-0.176866,0.766376
12.2669,-3.55657,-7.47916,2.75059,-0.20803,-0.590609,-0.168289,0.761304
12.3337,-3.23352,-7.7798,2.72941,-0.215922,-0.600281,-0.166346,0.751911
12.4004,-3.01346,-8.05183,2.69294,-0.222938,-0.601272,-0.169018,0.748468
12.4671,-2.8038,-8.18362,2.61151,-0.222767,-0.609615,-0.163405,0.742996
12.5339,-2.07439,-7.56164,2.05819,-0.22681,-0.629177,-0.16385,0.725152
12.6006,-1.44381,-7.67599,2.02772,-0.21854,-0.643979,-0.158487,0.71583
12.6673,-1.28344,-7.77451,2.04892,-0.21573,-0.646097,-0.157982,0.714885
12.7341,-1.07432,-7.74897,2.0784,-0.214246,-0.647765,-0.15526,0.714418
12.8008,-0.308516,-7.63425,1.77958,-0.217354,-0.660855,-0.158399,0.70067
12.8675,-0.311439,-7.43861,1.4429,-0.226355,-0.633411,-0.168285,0.720579
12.9343,-0.0334409,-7.5447,1.34682,-0.244103,-0.629588,-0.170009,0.717725
13.001,-0.202573,-7.70523,1.26279,-0.260535,-0.614507,-0.178522,0.722933
13.0677,-0.156072,-7.7012,1.4006,-0.279693,-0.615751,-0.174378,0.715692
13.1345,-0.0695972,-7.95466,1.51406,-0.275761,-0.615276,-0.185273,0.714888
13.2012,0.175473,-7.8809,1.5122,-0.289052,-0.61702,-0.18778,0.707441
13.2679,0.532288,-7.97736,1.57719,-0.2972,-0.629889,-0.185552,0.693168
13.3347,0.715853,-8.07549,1.60845,-0.306007,-0.629849,-0.19292,0.687337
13.4014,0.949555,-8.04275,1.62509,-0.314527,-0.630978,-0.197469,0.681136
13.4681,1.1795,-8.05929,1.66183,-0.320575,-0.635688,-0.201385,0.672738
13.5349,1.33707,-8.08616,1.6683,-0.326812,-0.634333,-0.212763,0.667494
13.6016,1.51482,-8.14992,1.66624,-0.334041,-0.634806,-0.219938,0.661109
13.6683,1.65875,-8.21444,1.71111,-0.340169,-0.636609,-0.229969,0.652785
13.7351,1.8047,-8.20359,1.68362,-0.346108,-0.634838,-0.244481,0.64608
13.8018,1.92218,-8.19398,1.60409,-0.351651,-0.632172,-0.262098,0.638752
13.8685,2.059,-8.16704,1.48861,-0.354208,-0.628849,-0.278558,0.633633
13.9353,2.19184,-8.19148,1.28803,-0.347952,-0.625865,-0.294725,0.632739
14.002,2.32034,-8.30659,0.953616,-0.340336,-0.612549,-0.314544,0.640326
14.0687,2.55165,-8.04669,1.13212,-0.349547,-0.625749,-0.323089,0.617955
14.1355,2.6969,-7.9547,1.32968,-0.358291,-0.631528,-0.333856,0.601117
14.2022,2.8452,-7.86093,1.41393,-0.361921,-0.637443,-0.341175,0.588455
14.2689,2.985,-7.8801,1.42317,-0.360658,-0.63357,-0.351064,0.587596
14.3357,3.13564,-7.62517,1.51681,-0.359842,-0.648255,-0.362212,0.564873
14.4024,3.26077,-7.53236,1.60245,-0.369193,-0.647099,-0.368208,0.556222
14.4691,3.3627,-7.36801,1.93718,-0.366924,-0.660853,-0.384729,0.529739
14.5359,3.46819,-7.25695,2.03265,-0.373947,-0.659058,-0.393716,0.520378
14.6026,3.50501,-7.05224,2.33799,-0.373944,-0.670955,-0.410482,0.491417
14.6693,3.70384,-7.03367,2.11184,-0.366683,-0.658345,-0.433741,0.493958
14.7361,3.80935,-6.95851,2.20487,-0.374351,-0.654689,-0.435397,0.491603
