t,px,py,pz,qx,qy,qz,qw
16.3497,0.0604233,-0.0334061,0.0647154,0.668408,-0.225537,0.671929,0.225554
16.4164,0.0903961,-0.0146346,0.0796715,0.674257,-0.222821,0.671485,0.211743
16.4831,0.11318,0.0647086,0.0981004,0.676095,-0.225388,0.670795,0.205256
16.5499,0.12997,0.145261,0.111526,0.672686,-0.231837,0.674947,0.195428
16.6166,0.146331,0.215512,0.114406,0.668276,-0.232227,0.681162,0.188404
16.6833,0.165615,0.290224,0.11166,0.665523,-0.225847,0.687355,0.183346
16.7501,0.181021,0.371608,0.104419,0.660326,-0.229622,0.693383,0.174538
16.8168,0.198614,0.462575,0.0947615,0.659821,-0.231055,0.694166,0.171417
16.8835,0.216549,0.56681,0.0812615,0.662658,-0.227667,0.693415,0.168014
16.9503,0.236069,0.674176,0.0518637,0.67127,-0.217492,0.687494,0.171598
17.017,0.250547,0.791884,0.0264142,0.670715,-0.221778,0.686674,0.171564
17.0837,0.263479,0.920305,-0.00329313,0.670673,-0.222947,0.685719,0.174016
17.1505,0.273873,1.05874,-0.0339226,0.671,-0.223983,0.685388,0.172726
17.2172,0.285985,1.20805,-0.0684422,0.672502,-0.222657,0.684157,0.173476
17.2839,0.29426,1.36524,-0.108216,0.670838,-0.228428,0.683977,0.173124
17.3507,0.307776,1.53925,-0.15324,0.669042,-0.227022,0.686945,0.170147
17.4174,0.322594,1.72002,-0.182898,0.669677,-0.230149,0.685885,0.167708
17.4841,0.314248,1.90232,-0.218775,0.671279,-0.234013,0.684683,0.160722
17.5509,0.321937,2.08929,-0.258041,0.674356,-0.23507,0.681113,0.161465
17.6176,0.364676,2.31216,-0.266038,0.673473,-0.243813,0.679508,0.158931
17.6843,0.404739,2.51045,-0.270734,0.672992,-0.25308,0.675428,0.163794
17.7511,0.419644,2.72816,-0.278335,0.674874,-0.251,0.67361,0.166718
17.8178,0.435091,2.94525,-0.325021,0.674946,-0.251768,0.673157,0.167095
17.8845,0.452489,3.16734,-0.375523,0.678108,-0.249778,0.671154,0.165328
17.9513,0.467878,3.40582,-0.40519,0.677997,-0.251393,0.671044,0.163772
18.018,0.485306,3.62614,-0.481197,0.680189,-0.248813,0.669944,0.163125
18.0847,0.499561,3.86561,-0.525108,0.681932,-0.248322,0.669893,0.156681
18.1515,0.515139,4.09631,-0.588956,0.68078,-0.254222,0.670567,0.149161
18.2182,0.530375,4.3608,-0.620472,0.677717,-0.258086,0.673959,0.140961
18.2849,0.545745,4.62487,-0.64161,0.671109,-0.270189,0.676985,0.135288
18.3517,0.593619,4.86854,-0.731224,0.6686,-0.269142,0.680016,0.134595
18.4184,0.608735,5.13296,-0.776462,0.664856,-0.271131,0.683579,0.131048
18.4851,0.626752,5.28543,-0.970342,0.667311,-0.272277,0.681167,0.128734
18.5519,0.659313,5.55175,-1.00806,0.670459,-0.270745,0.678605,0.12914
18.6186,0.669005,5.85202,-1.04577,0.6733,-0.267065,0.676467,0.133179
18.6853,0.693467,6.13549,-1.13546,0.674294,-0.271417,0.673521,0.134277
18.7521,0.692156,6.28585,-1.18467,0.675464,-0.27778,0.670049,0.132747
18.8188,0.716097,6.58639,-1.24668,0.677365,-0.28007,0.666834,0.134427
18.8855,0.737586,6.9597,-1.18979,0.675869,-0.28589,0.666413,0.131767
18.9523,0.739326,7.34098,-1.10589,0.671667,-0.295469,0.667337,0.127368
19.019,0.735995,7.59784,-1.18898,0.669445,-0.303722,0.665998,0.126664
19.0857,0.743337,7.87118,-1.24642,0.668267,-0.31117,0.664198,0.124236
19.1525,0.758144,8.18205,-1.30865,0.665915,-0.317261,0.663399,0.125715
19.2192,0.781669,8.508,-1.37884,0.665361,-0.321503,0.661665,0.127005
19.2859,0.783885,8.77625,-1.4283,0.667134,-0.325092,0.657851,0.128369
19.3527,0.792853,9.07231,-1.50131,0.665423,-0.326978,0.659302,0.124972
19.4194,0.806022,9.40535,-1.5672,0.66865,-0.320828,0.659611,0.122023
19.4861,0.877726,9.76119,-1.61054,0.674876,-0.313206,0.658235,0.114766
19.5529,0.893171,10.0608,-1.68673,0.678192,-0.307186,0.660437,0.0975497
19.6196,0.905639,10.3617,-1.76432,0.680041,-0.296051,0.66626,0.0774368
19.6863,0.916612,10.6657,-1.84356,0.682205,-0.277232,0.674278,0.055571
19.7531,0.924471,10.9654,-1.92414,0.682522,-0.261391,0.682023,0.0261442
19.8198,0.929697,11.2662,-2.00623,-0.682865,0.241816,-0.689361,0.00143011
19.8865,0.928916,11.5665,-2.08917,-0.6799,0.221489,-0.6984,0.0302493
19.9533,0.934092,11.8829,-2.17413,-0.674192,0.200824,-0.708417,0.0572749
20.02,0.924295,12.179,-2.25812,-0.670753,0.178971,-0.714483,0.0870244
20.0867,0.907006,12.4735,-2.3445,-0.668219,0.157367,-0.718105,0.11421
20.1535,0.843448,12.7248,-2.46143,-0.662723,0.129537,-0.724186,0.139901
20.2202,0.799661,13.0105,-2.5551,-0.656125,0.0994024,-0.728889,0.168343
20.2869,0.74356,13.2894,-2.65295,-0.648393,0.0729386,-0.731588,0.1976
20.3537,0.674262,13.5622,-2.75309,-0.640321,0.0399539,-0.732598,0.227361
20.4204,0.591276,13.8265,-2.85759,-0.63028,0.00686159,-0.732147,0.258187
20.4871,0.494993,14.0805,-2.96811,-0.617733,-0.0252659,-0.728931,0.293984
20.5539,0.384817,14.3251,-3.08332,-0.604749,-0.062673,-0.722093,0.33005
20.6206,0.260761,14.5588,-3.20331,-0.593042,-0.102935,-0.711755,0.362093
20.6873,0.259329,15.414,-3.7099,-0.578535,-0.147196,-0.704559,0.383702
20.7541,0.117003,15.6414,-3.85332,-0.56502,-0.172236,-0.692881,0.413526
20.8208,-0.0385991,15.8531,-4.0027,-0.546828,-0.201654,-0.683037,0.4402
20.8875,-0.204503,16.0499,-4.15778,-0.526388,-0.230781,-0.669917,0.469966
20.9543,-0.381121,16.2327,-4.31807,-0.505849,-0.262803,-0.65375,0.497656
21.021,-0.570211,16.3983,-4.48503,-0.480598,-0.294024,-0.638572,0.524214
21.0877,-0.891321,16.4447,-4.97183,-0.458394,-0.323966,-0.620919,0.547157
21.1545,-1.09631,16.5717,-5.16103,-0.431031,-0.350536,-0.60708,0.568148
21.2212,-1.30897,16.6809,-5.35824,-0.405925,-0.373534,-0.588543,0.591028
21.2879,-1.53295,16.7716,-5.56288,-0.380172,-0.399602,-0.571247,0.607836
21.3547,-1.66399,16.7443,-5.39923,-0.345283,-0.426708,-0.562877,0.617956
21.4214,-1.92776,16.8,-5.61583,-0.321589,-0.448859,-0.54432,0.631523
21.4881,-2.20192,16.8329,-5.84196,-0.295767,-0.469854,-0.526239,0.644074
21.5549,-2.4843,16.8444,-6.0767,-0.270605,-0.490157,-0.507238,0.655155
21.6216,-2.77092,16.8348,-6.31878,-0.249618,-0.507009,-0.482888,0.668919
21.6883,-3.05427,16.8555,-6.64247,-0.236115,-0.514204,-0.455674,0.687172
21.7551,-3.40227,16.5989,-6.39399,-0.208817,-0.529899,-0.444993,0.691074
21.8218,-3.71872,16.5049,-6.65757,-0.1877,-0.538043,-0.42771,0.701671
21.8885,-3.99743,16.0841,-6.75392,-0.169686,-0.54533,-0.408798,0.711833
21.9553,-4.32195,15.8938,-6.96079,-0.158515,-0.551338,-0.390592,0.719956
22.022,-4.6412,15.7154,-7.25181,-0.139604,-0.562456,-0.378211,0.72188
22.0887,-4.96341,15.5119,-7.55574,-0.129488,-0.570029,-0.36887,0.722658
22.1555,-5.2873,15.2824,-7.87291,-0.120481,-0.57783,-0.362009,0.721488
22.2222,-5.61011,15.0264,-8.20147,-0.117671,-0.581737,-0.357045,0.721286
22.2889,-5.93196,14.7436,-8.54085,-0.113915,-0.586209,-0.35151,0.720987
22.3557,-6.35926,14.2605,-8.62847,-0.112515,-0.587175,-0.348556,0.721855
22.4224,-6.72477,13.9071,-9.00036,-0.110964,-0.593714,-0.338342,0.721606
22.4891,-7.09828,13.5436,-9.31519,-0.118055,-0.591153,-0.331358,0.725812
22.5559,-7.43576,13.136,-9.68067,-0.117319,-0.594666,-0.321628,0.727437
22.6226,-7.53396,13.0016,-10.4194,-0.118863,-0.59958,-0.31276,0.727019
22.6893,-7.84344,12.5685,-10.8217,-0.118015,-0.605286,-0.30585,0.725367
22.7561,-8.20221,11.9585,-11.0883,-0.121218,-0.60651,-0.300611,0.726006
22.8228,-8.57149,11.522,-11.5359,-0.116431,-0.611662,-0.296129,0.724307
22.8895,-8.93567,10.9519,-11.9014,-0.113125,-0.613527,-0.292535,0.724714
22.9563,-9.27121,10.4117,-12.334,-0.108643,-0.616141,-0.287879,0.725047
23.023,-9.60888,9.85051,-12.777,-0.10417,-0.618712,-0.281608,0.725976
23.0897,-10.0137,9.30985,-13.2413,-0.0994531,-0.625696,-0.271154,0.72463
23.1565,-10.3381,8.72102,-13.7052,-0.0932359,-0.629409,-0.261093,0.725935
23.2232,-10.7403,7.90439,-14.11,-0.0855762,-0.631517,-0.252143,0.728208
23.2899,-11.1771,7.17153,-14.6083,-0.0834322,-0.631727,-0.241467,0.731884
23.3567,-11.5264,6.50107,-15.1037,-0.0847131,-0.632111,-0.233017,0.734141
23.4234,-11.9192,5.56872,-15.563,-0.0760198,-0.629284,-0.234054,0.737184
23.4901,-12.2683,4.81123,-16.0735,-0.0777479,-0.630409,-0.227236,0.738176
23.5569,-12.6072,4.0084,-16.5894,-0.0728597,-0.634547,-0.225549,0.735642
23.6236,-12.9362,3.26058,-17.1313,-0.0717681,-0.637235,-0.224724,0.733676
23.6903,-13.2731,2.43531,-17.6662,-0.07706,-0.636675,-0.226579,0.733054
23.7571,-13.6071,1.58494,-18.2113,-0.0822266,-0.634311,-0.231542,0.732992
23.8238,-13.9489,0.674052,-18.763,-0.0848398,-0.634162,-0.235227,0.731648
23.8905,-14.2698,-0.202814,-19.3309,-0.0923547,-0.634476,-0.238842,0.729291
23.9573,-14.5282,-1.17138,-19.928,-0.0959155,-0.634454,-0.242052,0.72779
24.024,-14.8214,-2.11812,-20.5164,-0.11017,-0.631168,-0.242726,0.728405
24.0907,-15.1745,-3.06968,-21.0957,-0.124371,-0.62914,-0.242151,0.728065
24.1575,-15.9179,-5.07497,-21.6684,-0.139293,-0.622615,-0.260265,0.724714
24.2242,-16.2562,-6.13929,-22.2839,-0.146955,-0.622703,-0.271307,0.719053
24.2909,-16.8395,-7.14113,-22.8995,-0.163661,-0.619816,-0.280805,0.714277
24.3577,-17.1951,-8.54958,-23.5682,-0.173966,-0.614203,-0.292406,0.712031
24.4244,-17.545,-9.66602,-24.2047,-0.178519,-0.613663,-0.302379,0.707189
24.4911,-17.9039,-10.8357,-24.8587,-0.192109,-0.608653,-0.311799,0.703859
