t,px,py,pz,qx,qy,qz,qw
15.3487,-0.00742349,0.0820853,-0.0197305,0.621389,-0.275854,0.628791,0.377361
15.4154,-0.0269967,0.0155311,-0.00830953,0.657126,-0.243777,0.647215,0.299785
15.4821,-0.0297837,0.0187762,-0.00454281,0.660932,-0.241539,0.641328,0.305821
15.5489,-0.0357324,0.0275363,-0.00494152,0.667222,-0.239477,0.643239,0.289324
15.6156,-0.0463404,0.0245861,0.00203055,0.666131,-0.239783,0.646056,0.28528
15.6823,-0.0589752,0.0170838,0.0151032,0.660821,-0.251528,0.651939,0.273906
15.7491,-0.0674038,0.0104028,0.0300896,0.666155,-0.230557,0.652926,0.27707
15.8158,-0.0721867,-0.00845282,0.0434926,0.671598,-0.230109,0.650507,0.269902
15.8825,-0.077579,-0.0286355,0.0548339,0.67507,-0.226302,0.651065,0.263026
15.9493,-0.0793385,-0.0508796,0.067956,0.673594,-0.227509,0.654058,0.258302
16.016,-0.074689,-0.0742577,0.0828016,0.683892,-0.20963,0.651257,0.253402
16.0827,-0.0551971,-0.0992605,0.0747759,0.683032,-0.199014,0.653065,0.259551
16.1495,0.0454278,-0.0251233,0.0793561,0.667376,-0.198098,0.651905,0.300643
16.2162,0.0794873,0.0160436,0.0562949,0.651232,-0.206063,0.66313,0.306092
16.2829,0.111193,0.00866283,0.0557379,0.658639,-0.192781,0.664594,0.295542
16.3497,0.166617,-0.0195465,0.0724085,0.663568,-0.180961,0.664766,0.291575
16.4164,0.216043,0.01057,0.067405,0.653689,-0.192988,0.672605,0.288182
16.4831,0.280616,-0.0488734,0.0659168,0.658937,-0.187519,0.672889,0.279034
16.5499,0.33176,-0.0660756,0.0618604,0.660723,-0.190063,0.679551,0.255992
16.6166,0.390809,-0.0713789,0.0594165,0.656516,-0.189445,0.686326,0.249106
16.6833,0.456784,-0.0565069,0.0648566,0.64916,-0.181538,0.695046,0.250093
16.7501,0.522752,-0.0280655,0.095159,0.635915,-0.189542,0.70214,0.258237
16.8168,0.588031,-0.0214337,0.117718,0.633092,-0.186091,0.706911,0.25464
16.8835,0.642003,-0.00555694,0.146483,0.632924,-0.173815,0.710805,0.252889
16.9503,0.711929,0.0119766,0.162895,0.638509,-0.158203,0.710601,0.24965
17.017,0.785756,0.0229575,0.177987,0.636932,-0.153781,0.714549,0.245129
17.0837,0.822004,0.0639487,0.212538,0.628882,-0.154154,0.721832,0.244341
17.1505,0.859891,0.110887,0.255685,0.622099,-0.154987,0.728199,0.242277
17.2172,0.936197,0.142672,0.271719,0.624307,-0.146331,0.728824,0.24009
17.2839,0.724914,0.323671,0.414076,0.586201,-0.175385,0.753088,0.241799
17.3507,0.706672,0.381789,0.481805,0.572147,-0.167822,0.76384,0.247047
17.4174,0.745687,0.289402,0.525438,0.574129,-0.159725,0.762429,0.252122
17.4841,0.755706,0.337534,0.54302,0.579718,-0.155352,0.762274,0.242345
17.5509,0.753543,0.384962,0.579986,0.581882,-0.147963,0.763802,0.236908
17.6176,0.653522,0.46562,0.576977,0.594504,-0.142613,0.762892,0.210291
17.6843,0.691485,0.520628,0.557207,0.605336,-0.1294,0.763373,0.184623
17.7511,0.726682,0.573797,0.590441,0.597544,-0.122524,0.767926,0.195496
17.8178,0.738084,0.636311,0.620416,0.596198,-0.115796,0.770648,0.192979
17.8845,0.755567,0.70175,0.65963,0.600187,-0.110472,0.770352,0.184739
17.9513,0.759612,0.768647,0.705138,0.597667,-0.109994,0.774563,0.17535
18.018,0.752756,0.892968,0.742884,0.593802,-0.104093,0.777582,0.178692
18.0847,0.781731,1.00242,0.740957,0.606456,-0.0778474,0.770727,0.17925
18.1515,0.785981,1.08896,0.724239,0.612176,-0.0736808,0.767942,0.173429
18.2182,0.832698,1.15793,0.703243,0.616129,-0.0435116,0.763848,0.187157
18.2849,0.865882,1.2433,0.714085,0.613705,-0.039772,0.767471,0.181031
18.3517,0.899361,1.31272,0.716139,0.612264,-0.0299771,0.768318,0.18418
18.4184,0.925455,1.38667,0.708675,0.610321,-0.0220109,0.769873,0.185258
18.4851,0.904368,1.46376,0.703919,0.62002,-0.0103164,0.76625,0.168316
18.5519,0.888143,1.52275,0.674897,0.632757,0.0103724,0.756974,0.162793
18.6186,0.901793,1.58432,0.662108,0.636021,0.0293258,0.752474,0.168525
18.6853,0.867002,1.63498,0.690593,0.638791,0.0353969,0.752013,0.158651
18.7521,0.872323,1.68641,0.695325,0.641089,0.0439265,0.749407,0.159579
18.8188,0.84296,1.74069,0.72714,0.640073,0.0505234,0.750791,0.155137
18.8855,0.852831,1.7993,0.736222,0.636718,0.0618986,0.75171,0.160285
18.9523,0.822046,1.8536,0.771333,0.633633,0.0664613,0.753843,0.160666
19.019,0.797838,1.91295,0.793378,0.63189,0.0675225,0.755646,0.158606
19.0857,0.754323,1.97562,0.821776,0.629231,0.0651073,0.759773,0.150246
19.1525,0.735001,2.03638,0.816022,0.628013,0.0602144,0.760547,0.153432
19.2192,0.708057,2.09679,0.827344,0.627687,0.0647615,0.760795,0.151676
19.2859,0.706451,2.14092,0.817125,0.627319,0.0711821,0.758846,0.159867
19.3527,0.67335,2.16828,0.825219,0.629395,0.0491169,0.757324,0.167065
19.4194,0.663923,2.22002,0.821169,0.627535,0.0558824,0.757904,0.169291
19.4861,0.660397,2.28388,0.823028,0.628804,0.0667233,0.755455,0.171584
19.5529,0.64688,2.33777,0.82383,0.634062,0.0776046,0.75298,0.158
19.6196,0.6009,2.40078,0.844769,0.637274,0.095741,0.752296,0.136989
19.6863,0.530593,2.45771,0.872005,0.639981,0.117813,0.750869,0.112875
19.7531,0.467616,2.52394,0.891208,0.641673,0.139626,0.749783,0.0811546
19.8198,0.441341,2.62078,0.89623,0.641725,0.163152,0.746993,0.0597555
19.8865,0.380631,2.69547,0.911731,0.640843,0.19077,0.743041,0.0285914
